dim	k	n	amount	rem
goods	40845	2	960.00	779.00
goods	4087	5	15517.00	11975.11
goods	4088	12	36288.08	28111.77
goods	4089	2	8120.00	7300.00
goods	40894	3	1814.00	542.00
goods	40898	1	788.00	646.00
goods	40903	1	360.00	292.00
goods	410	13	32916.66	26791.49
goods	41189	1	460.00	355.00
goods	41192	4	2309.00	1698.00
goods	41193	1	460.00	405.00
goods	41197	1	520.00	500.00
goods	412	9	7088.00	2422.94
goods	41202	4	1919.71	1658.70
goods	41225	1	286.00	188.00
goods	413	18	16232.10	8476.10
goods	414	11	10925.95	7568.92
goods	41444	2	714.00	578.00
goods	41451	3	6168.00	4541.00
goods	41455	1	620.00	488.00
goods	41460	4	7549.00	6235.00
goods	415	1	1200.00	220.00
goods	41532	1	1570.00	1216.00
goods	41538	3	3326.00	2524.00
goods	41539	1	720.00	560.00
goods	41540	1	2230.00	1680.00
goods	41542	4	6178.16	5218.58
goods	41543	6	2372.42	1692.71
goods	41544	4	1474.00	1106.00
goods	41546	4	3486.44	2726.44
goods	41547	4	1500.00	1155.00
goods	41548	4	2153.00	1892.00
goods	41549	3	2630.00	2396.00
goods	41551	2	2164.00	1815.00
goods	41552	3	5080.00	3145.00
goods	41553	1	3470.00	2616.00
goods	41565	2	3740.00	3240.00
goods	41588	1	660.00	650.00
goods	41589	1	2290.00	1971.00
goods	41591	8	10919.61	8656.61
goods	41592	1	2840.00	2466.00
goods	416	6	8924.94	6982.51
goods	41610	2	930.36	777.12
goods	417	2	2533.00	1021.00
goods	419	2	4874.68	1300.56
goods	421	1	2270.00	1320.00
goods	422	3	9998.00	3466.00
goods	423	3	8750.84	6599.84
goods	424	2	5939.00	3678.00
goods	425	17	22088.01	14457.01
goods	42553	1	470.00	322.00
goods	42557	3	1530.00	1400.00
goods	42570	1	308.00	240.00
goods	42577	1	1200.00	990.00
goods	426	23	24028.98	13116.97
goods	427	33	31561.00	19581.05
goods	430	5	16643.00	13249.00
goods	43054	1	600.00	462.00
goods	43055	4	1500.00	1092.00
goods	431	5	6338.00	2518.99
goods	432	2	4150.00	2939.00
goods	433	6	10606.00	4351.00
goods	434	23	46876.50	26822.72
goods	4345	1	420.00	246.00
goods	4349	2	1889.00	1216.00
goods	435	9	20001.88	10257.07
goods	4350	1	350.00	116.00
goods	436	6	5085.35	2902.38
goods	4367	1	630.00	540.00
goods	437	5	12070.91	4998.00
goods	4376	1	455.00	110.00
goods	440	1	600.00	59.00
goods	441	1	1973.00	434.00
goods	442	1	390.00	265.00
goods	443	6	4409.75	1778.00
goods	444	6	17659.00	8294.00
goods	446	1	1140.00	660.00
goods	44733	2	1440.00	1303.00
goods	44737	1	196.00	88.00
goods	44740	1	1200.00	1035.00
goods	450	1	3000.00	1490.00
goods	45169	1	477.00	370.00
goods	452	1	1034.91	828.91
goods	45225	1	388.00	315.00
goods	454	1	460.00	132.00
goods	456	8	4577.00	3530.00
goods	458	2	842.00	434.00
goods	459	4	1966.99	1513.03
goods	45904	3	7175.00	5938.00
goods	45905	4	5120.00	4479.00
goods	45907	1	2410.00	2360.00
goods	45909	6	15259.83	12649.83
goods	460	2	881.00	222.00
goods	462	1	3475.00	1300.00
goods	463	12	21715.00	10440.00
goods	464	1	1890.00	1800.00
goods	468	1	327.85	30.42
goods	471	1	320.00	93.00
goods	477	4	5632.00	3431.00
goods	481	9	15939.40	11273.60
goods	482	1	2933.00	1420.00
goods	485	1	260.00	150.00
goods	486	1	270.00	213.00
goods	487	4	2080.00	1131.00
goods	488	2	1156.00	911.00
goods	48850	1	6717.00	5133.00
goods	48878	1	3530.00	2664.00
goods	48879	2	6130.00	5388.00
goods	489	5	2188.00	1604.00
goods	491	1	480.00	360.00
goods	492	1	930.00	728.00
goods	494	2	704.00	489.00
goods	49400	1	2897.68	2197.68
goods	495	1	410.00	280.00
goods	49959	2	4017.00	2560.00
goods	500	12	9446.00	6946.00
goods	501	3	2671.00	1249.00
goods	50218	2	2370.00	2062.00
goods	5028	1	1556.00	1400.00
goods	5047	1	1720.00	680.00
goods	507	3	2494.00	1631.00
goods	510	1	430.00	266.00
goods	51154	2	2840.00	2605.00
goods	51158	1	320.00	279.00
goods	51159	1	3739.00	3230.00
goods	51160	3	9720.00	7506.00
goods	51165	7	10621.29	8739.00
goods	513	2	1850.00	1160.00
goods	514	2	1021.00	387.00
goods	515	2	585.00	339.00
goods	51601	2	650.00	450.00
goods	51602	2	940.00	879.00
goods	5169	1	1040.00	1000.00
goods	51709	9	4946.67	4475.67
goods	51710	2	1319.00	994.00
goods	51711	2	1760.00	1368.00
goods	51712	1	1380.00	1170.00
goods	51715	2	3020.00	2839.00
goods	51716	4	4974.00	4282.00
goods	51719	1	619.62	360.00
goods	5172	1	1000.00	570.00
goods	51720	1	1300.00	1024.00
goods	51721	3	5266.86	4012.93
goods	51723	2	3275.47	2555.99
goods	51726	1	1290.00	1190.00
goods	51727	2	3550.00	2901.00
goods	51759	1	1898.00	1690.00
goods	51761	4	6551.00	5338.00
goods	518	1	1016.00	660.00
goods	5181	1	1040.00	588.00
goods	5185	1	576.00	505.00
goods	519	1	400.00	39.00
goods	521	1	2320.00	1750.00
goods	522	4	6851.05	3431.78
goods	524	1	1290.00	1080.00
goods	5241	1	1440.00	980.00
goods	526	3	7120.00	6122.00
goods	527	2	3407.96	2274.96
goods	528	1	2900.00	1560.00
goods	530	4	3740.00	1275.00
goods	531	9	9300.00	4865.00
goods	532	1	420.00	360.00
goods	533	2	880.00	337.00
goods	53495	1	1140.00	1008.00
goods	53496	4	7347.00	6525.00
goods	53498	1	3170.00	2673.00
goods	53499	3	1840.00	1331.00
goods	535	1	1037.98	548.38
goods	537	13	17308.24	10294.21
goods	53826	1	2138.00	1924.00
goods	539	1	390.00	105.00
goods	541	1	472.00	140.00
goods	549	1	301.00	199.00
goods	558	1	350.00	128.00
goods	55980	1	960.00	819.00
goods	566	2	755.00	375.84
goods	56650	2	4980.00	4250.00
goods	56651	1	3170.00	2538.00
goods	56654	2	8520.00	7243.00
goods	572	1	2440.00	440.00
goods	57478	1	378.00	221.00
goods	57490	1	2220.00	1376.00
goods	57491	1	2490.00	2490.00
goods	57506	1	1020.00	900.00
goods	57510	1	1970.00	1730.00
goods	57520	1	1500.00	1260.00
goods	57538	1	2220.00	1953.00
goods	57548	1	1060.00	1030.00
goods	57549	2	3260.00	2880.00
goods	57552	1	1840.00	1640.00
goods	57555	1	9020.00	7217.00
goods	57573	1	2610.00	2340.00
goods	57588	1	2900.00	2520.00
goods	57803	5	1980.00	1617.00
goods	580	1	1936.00	1706.00
goods	58069	5	6726.00	5944.00
goods	58073	3	4137.00	3406.00
goods	58074	1	580.00	477.00
goods	58075	1	530.00	520.00
goods	58088	1	370.00	370.00
goods	58090	1	560.00	486.00
goods	58369	2	1430.00	1410.00
goods	58382	1	570.00	550.00
goods	585	1	1500.70	283.94
goods	587	1	950.60	199.20
goods	58903	7	6830.00	5157.00
goods	597	3	7047.00	6109.00
goods	598	6	18839.00	15319.00
goods	600	3	1282.66	399.66
goods	60106	1	240.00	190.00
goods	604	1	3670.00	3240.00
goods	605	3	10621.00	7615.00
goods	606	1	869.56	353.51
goods	607	1	1640.00	800.00
goods	608	5	6240.00	3739.97
goods	609	2	2087.03	608.31
goods	61091	1	307.00	306.00
goods	61094	5	3258.00	2818.00
goods	611	6	6430.00	5316.00
goods	613	1	660.00	540.00
goods	61545	5	5746.80	4626.00
goods	61546	2	3178.00	3065.00
goods	616	2	1940.00	1918.00
goods	618	1	1973.00	1730.00
goods	622	3	4750.00	3558.00
goods	624	1	1740.00	850.00
goods	62504	1	1087.00	790.00
goods	626	2	4800.00	3270.00
goods	62669	1	2720.00	2490.00
