dim	k	n	amount	rem
goods	1030	5	2636.85	2027.07
goods	1031	2	2585.08	2145.08
goods	1033	2	4150.00	3560.00
goods	1035	2	2433.00	1288.00
goods	1036	1	238.00	200.00
goods	1043	1	657.06	129.58
goods	1046	1	430.00	378.00
goods	1052	6	8360.00	4607.00
goods	1054	17	12994.00	6229.00
goods	1055	4	5310.00	1570.00
goods	1056	2	8106.44	1977.75
goods	1057	1	630.00	610.00
goods	1058	1	529.00	110.00
goods	1059	4	3387.00	1340.00
goods	106	1	290.00	196.00
goods	1060	1	1070.00	400.00
goods	1062	2	2972.00	1406.00
goods	1063	13	16026.10	6633.82
goods	1066	6	13102.00	9094.00
goods	1067	4	11649.00	8152.00
goods	10678	2	5045.00	3393.00
goods	1068	2	3750.00	2141.13
goods	10680	1	1780.00	1750.00
goods	10682	2	1530.00	1268.00
goods	10683	11	9731.60	7510.30
goods	10688	1	350.00	330.00
goods	1069	5	12532.00	10010.00
goods	10690	2	1242.00	562.00
goods	10694	1	2010.00	1910.00
goods	10695	2	2410.00	1771.00
goods	1071	1	233.80	119.90
goods	10720	1	1790.00	1584.00
goods	10723	1	1426.00	1120.00
goods	10729	8	6608.60	5151.60
goods	10731	5	6163.91	4847.97
goods	10732	3	1419.10	837.74
goods	1074	3	1966.00	1265.00
goods	1076	3	5209.00	2179.00
goods	1077	1	3480.00	2980.00
goods	108	4	1257.12	435.78
goods	1082	1	1420.00	660.00
goods	1086	41	38772.66	29423.22
goods	1087	9	9459.00	4481.00
goods	1089	2	2188.00	1091.00
goods	1091	1	793.00	171.00
goods	1095	4	5640.00	3606.00
goods	110	2	894.72	653.72
goods	1102	5	4555.00	3232.00
goods	1103	1	1727.00	1305.00
goods	1104	2	2235.27	951.09
goods	1108	1	360.00	340.00
goods	1111	2	3010.00	1680.00
goods	1113	1	2810.00	1023.46
goods	1128	1	1240.00	1080.00
goods	1131	1	1834.00	1072.00
goods	1145	1	2020.00	1400.00
goods	1147	1	3870.00	3393.00
goods	115	4	1704.00	759.00
goods	1151	3	1264.00	458.00
goods	1152	3	992.00	291.00
goods	1153	1	550.00	179.00
goods	1154	1	497.00	190.00
goods	1155	1	330.00	275.00
goods	1157	1	890.00	264.00
goods	1158	3	5756.00	3488.66
goods	1159	1	3569.00	2082.00
goods	116	4	1785.00	756.00
goods	117	2	603.06	327.02
goods	1177	1	1966.00	1574.00
goods	1179	5	7656.00	6070.00
goods	118	1	560.00	424.00
goods	1180	4	8670.00	5639.00
goods	1184	2	640.00	175.00
goods	1185	5	10245.24	7370.24
goods	1186	2	4489.00	2695.00
goods	1188	3	10162.00	7237.00
goods	1189	1	2500.00	2070.00
goods	119	1	229.00	129.00
goods	1190	30	20939.77	10122.76
goods	1191	41	30094.01	15962.51
goods	1192	10	7197.00	4352.00
goods	1193	29	21821.12	12216.13
goods	1201	2	880.00	764.00
goods	1202	1	370.00	240.00
goods	1204	1	250.00	60.00
goods	1206	1	340.00	270.00
goods	1209	1	2400.00	1150.00
goods	1210	7	8763.47	5510.89
goods	1211	3	5010.00	3583.00
goods	1214	2	6298.00	2924.00
goods	1216	2	4971.69	468.23
goods	1217	2	2159.64	1779.82
goods	1228	2	525.00	280.00
goods	1229	3	1016.00	865.00
goods	1231	1	387.78	64.23
goods	1232	2	1459.00	941.00
goods	1234	1	480.00	353.00
goods	1236	3	4093.00	3290.00
goods	1238	1	751.00	303.00
goods	1239	11	26518.42	15429.30
goods	1240	1	3982.00	1544.00
goods	12400	1	510.00	250.00
goods	12404	1	650.00	378.00
goods	1241	1	1820.00	1349.00
goods	12417	1	390.00	380.00
goods	1243	3	1406.61	516.09
goods	1244	5	14720.23	8897.74
goods	1245	7	17608.89	8961.75
goods	1246	2	4936.02	1286.51
goods	1247	3	3591.00	2504.00
goods	1249	3	2981.00	2110.00
goods	125	6	2365.53	1814.53
goods	1251	2	2998.00	1615.00
goods	1253	1	1390.00	1242.00
goods	1254	4	6586.00	5212.00
goods	1255	2	3660.00	2745.00
goods	12580	1	590.00	580.00
goods	1261	1	1899.00	528.00
goods	1262	1	678.42	196.28
goods	1265	1	705.00	360.00
goods	1271	2	1426.00	830.00
goods	1272	11	14541.48	6895.00
goods	1273	6	3772.09	1807.09
goods	1274	4	2623.14	1144.14
goods	1275	7	2569.00	1620.00
goods	1276	9	6342.06	3120.03
goods	1279	3	5600.00	2397.00
goods	128	1	943.00	657.00
goods	1280	1	249.00	215.00
goods	1281	1	1380.00	1300.00
goods	1287	1	270.00	208.00
goods	1290	2	1790.00	1121.00
goods	1291	2	820.00	385.00
goods	1292	1	1619.00	470.00
goods	1293	1	470.00	46.00
goods	1294	4	4699.29	3053.29
goods	1296	2	3613.00	1174.30
goods	1297	1	960.00	318.00
goods	1298	1	1150.00	565.00
goods	130	3	1640.00	741.00
goods	1300	2	2490.00	1701.00
goods	1301	2	3842.00	988.66
goods	1302	1	1450.00	1120.00
goods	1303	2	2900.00	2232.00
goods	1304	1	4335.05	2382.44
goods	1308	1	3010.00	2160.00
goods	1311	1	370.00	360.00
goods	1312	1	5360.00	1608.00
goods	1314	1	2500.00	1200.00
goods	1315	1	1192.00	595.00
goods	1316	6	6107.21	2504.26
goods	1318	3	3320.00	2623.00
goods	1319	2	1117.00	780.00
goods	1321	1	940.00	465.00
goods	13218	29	25039.76	19685.60
goods	13277	1	320.00	310.00
goods	1330	1	599.00	308.00
goods	1331	3	1250.00	847.00
goods	1334	1	1040.00	721.00
goods	1336	2	7570.00	3477.00
goods	1339	7	9204.01	4826.21
goods	1341	1	1516.00	344.00
goods	13411	4	4530.00	2901.00
goods	13414	4	5239.73	3838.73
goods	1342	8	13018.29	7248.29
goods	1346	3	2636.00	863.00
goods	1348	1	280.00	270.00
goods	1349	1	1920.00	900.00
goods	1350	3	1529.62	1249.62
goods	1352	4	1810.00	1155.00
goods	1353	2	1249.80	655.00
goods	1354	2	649.00	534.00
goods	1355	1	77.74	13.74
goods	1356	4	1390.00	795.66
goods	1357	1	430.00	162.00
goods	1358	2	1558.00	868.02
goods	1359	1	510.00	251.00
goods	1360	3	1839.31	1304.00
goods	1361	1	2460.00	1100.00
goods	1366	5	2289.00	1658.00
goods	1368	2	628.00	353.00
goods	1369	2	3035.00	2262.00
goods	137	1	320.00	62.00
goods	1370	2	3450.00	1850.00
goods	1372	4	8538.90	4123.90
goods	1373	4	7541.32	3768.29
goods	1374	1	550.00	530.00
goods	1377	1	2030.00	1950.00
goods	1378	1	3390.00	3090.00
goods	1379	4	7906.27	3532.20
goods	138	6	3140.00	1478.00
goods	1380	3	5895.30	4459.30
goods	1382	10	12421.00	6296.16
goods	1386	16	46851.52	30144.78
goods	1387	2	4047.16	1012.50
goods	1388	1	3280.00	900.00
goods	1389	8	10848.09	3121.69
goods	1390	2	1470.00	488.00
goods	1391	4	5531.32	1308.33
goods	1392	2	2407.92	589.73
goods	139377	7	21742.00	13731.00
goods	139384	1	1850.00	1700.00
goods	1397	1	3660.00	3290.00
goods	1398	4	5671.00	3489.00
goods	1399	3	6157.00	3165.00
goods	140	2	2921.00	1665.00
goods	1400	2	6308.00	1804.00
goods	1401	2	2872.00	1129.00
goods	1403	6	10326.42	5078.91
goods	1405	4	7151.35	926.52
goods	1406	1	2280.00	220.00
goods	1407	15	20979.24	11998.57
goods	1410	1	1338.00	124.00
goods	1417	4	1592.00	1060.00
goods	142258	10	16131.70	12974.60
goods	142259	2	2869.00	2669.00
goods	142260	10	17601.08	14833.76
goods	142262	2	2410.00	2260.00
goods	142263	2	1570.00	1530.00
goods	142264	3	2620.00	2550.00
goods	142265	5	3897.00	3837.00
goods	142266	3	2840.00	2620.00
goods	142267	3	2840.00	2690.00
goods	142268	2	2640.00	2580.00
goods	142269	1	1280.00	1180.00
goods	142276	2	3090.00	2800.00
goods	142277	1	1550.00	1500.00
goods	142281	1	3100.00	2030.00
goods	142295	1	760.00	740.00
goods	142296	1	679.00	659.00
goods	142297	1	860.00	840.00
goods	142298	2	1960.00	1870.00
goods	142300	5	5900.00	5770.00
goods	142301	1	949.00	949.00
goods	142302	1	1150.00	1150.00
goods	142303	3	4239.00	4019.00
goods	142306	1	1980.00	1680.00
goods	142308	1	610.00	610.00
goods	1435	8	3395.00	1919.00
goods	1438	1	338.00	156.00
goods	14407	1	480.00	156.00
goods	1441	2	2130.00	1324.00
goods	1442	2	1260.00	168.75
goods	1447	1	2100.00	410.00
goods	1449	2	5884.00	4094.00
goods	145	3	1653.00	888.00
goods	1453	4	5667.48	2614.54
goods	1454	6	10448.00	6535.00
goods	1455	1	2767.00	1726.00
goods	1458	3	1120.00	947.00
goods	1459	1	290.00	280.00
goods	1463	1	269.00	58.00
goods	1465	2	1340.00	1120.00
goods	1467	26	22280.00	10687.66
goods	1468	1	1804.00	513.00
goods	1469	2	1040.01	1000.01
goods	147	2	704.00	529.00
goods	1470	9	8996.70	3434.35
goods	1471	28	35790.00	23806.61
goods	1472	43	27852.54	18268.84
goods	1473	27	21810.41	13615.93
goods	1474	2	9079.00	7088.00
goods	1475	4	7298.00	4152.00
goods	1476	11	20890.87	15452.87
goods	1477	3	6225.00	1687.00
goods	1478	9	23495.27	18915.27
goods	1479	9	24215.00	16329.00
goods	1480	3	1530.00	765.00
goods	1481	1	409.99	160.00
goods	1482	1	153.00	13.00
goods	1483	1	300.00	261.00
goods	1484	5	10327.00	8358.00
goods	1485	1	4405.36	1997.68
goods	1488	1	228.99	131.93
goods	149	1	290.00	78.00
goods	1491	1	1133.50	765.50
goods	1500	1	6740.00	6440.00
goods	1503	1	1150.00	339.00
goods	1504	6	7900.78	3816.88
goods	1505	1	1595.42	320.00
goods	1508	1	1433.12	851.06
goods	1509	1	1550.00	1368.00
goods	1511	7	4675.78	2809.54
goods	1512	10	10368.42	4946.14
goods	1513	5	7175.00	3669.00
goods	1514	5	9253.63	5595.07
goods	1515	4	10484.00	6072.00
goods	1516	1	279.00	235.00
goods	1518	2	850.00	290.00
goods	1521	8	12880.00	4087.00
goods	1522	4	6127.60	2617.72
goods	1523	14	14463.00	8102.00
goods	1525	3	997.88	442.44
goods	1527	3	1660.00	1017.00
goods	1528	8	14351.27	8237.14
goods	153	4	980.00	466.00
goods	1530	1	1440.47	357.83
goods	1531	1	1711.43	507.98
goods	1532	1	2370.00	230.00
goods	1534	1	10720.00	1944.00
goods	1535	3	5187.97	1761.02
goods	1536	2	2519.00	670.66
goods	1537	1	2320.00	1355.00
goods	1539	8	13536.12	8090.06
goods	1541	2	630.00	339.00
goods	1543	2	3027.00	2466.00
goods	1544	5	7181.84	4362.32
goods	1545	32	36869.62	22362.61
goods	1546	10	18895.71	12185.68
goods	1549	20	24129.66	13588.09
goods	155	1	490.00	200.00
goods	1550	3	6074.00	4661.00
goods	1551	2	4210.00	3680.00
goods	1554	1	2350.00	750.00
goods	1557	2	2723.00	1439.00
goods	1558	3	2730.00	2534.00
goods	1559	1	1150.00	880.00
goods	156	5	1728.00	701.00
goods	1563	7	1949.00	1429.00
goods	1565	2	1029.94	604.98
goods	1566	9	5144.00	3505.00
goods	1567	7	3597.43	2631.43
goods	1568	1	614.98	60.66
goods	1569	2	2850.00	1200.00
goods	1575	1	422.00	201.00
goods	1576	2	4040.00	1037.78
goods	158	2	919.12	694.12
goods	1584	2	699.00	238.00
goods	1587	1	852.57	162.57
goods	159	1	520.00	150.00
goods	1590	1	560.00	110.00
goods	1591	1	1070.00	840.00
goods	1593	2	4900.00	4700.00
goods	1594	19	15085.97	5835.00
goods	1595	15	4664.65	1867.65
goods	1596	8	10359.13	6880.00
goods	1597	12	19102.80	15084.70
goods	160	1	560.00	330.00
goods	1600	2	3415.00	3100.00
goods	1601	4	2103.47	812.47
goods	1602	1	659.00	584.00
goods	1604	1	1108.64	599.32
goods	1606	1	627.00	490.00
goods	1609	1	733.25	139.73
goods	1611	1	340.00	33.00
goods	1613	3	3729.35	1242.87
goods	1614	1	3080.00	2142.00
goods	1618	1	1051.00	808.00
goods	1620	3	1915.00	190.00
goods	1624	1	399.00	273.00
goods	1633	1	330.00	270.00
goods	1638	1	728.73	144.00
goods	1639	3	2124.20	1333.64
goods	1640	3	2486.64	1364.16
goods	1644	5	8150.00	5409.00
goods	1645	2	2606.69	1351.69
goods	1646	9	10588.80	7494.46
goods	1647	1	1850.00	1810.00
goods	1650	2	922.00	358.77
goods	1651	2	1150.00	972.00
goods	1652	3	1472.00	413.00
goods	1656	1	2950.00	2610.00
goods	1658	1	3240.00	3000.00
goods	1659	9	22209.00	11809.00
goods	1660	6	14006.00	11906.00
goods	1661	5	7041.67	2083.89
goods	1662	13	24000.97	11870.19
goods	1663	19	33225.09	22109.71
goods	1667	5	12217.52	6428.95
goods	1668	10	21929.52	12572.13
goods	1669	5	16106.74	11678.14
goods	1671	1	5950.00	4360.00
goods	1672	4	10110.00	8223.00
goods	1673	12	19728.94	11383.78
goods	1674	2	3264.75	2521.75
goods	1676	1	5290.00	2520.00
goods	1677	1	3420.00	1320.00
goods	1678	1	4730.00	4400.00
goods	1679	7	18359.66	11437.61
goods	1681	1	920.00	910.00
goods	1682	2	1820.00	1548.00
goods	1686	1	230.00	90.00
goods	1687	1	306.00	175.00
goods	1694	1	340.00	297.00
goods	1723	2	1191.00	362.00
goods	1724	1	550.00	432.00
goods	1726	2	969.00	327.00
goods	1727	5	10985.91	6939.98
goods	1728	5	4269.00	2527.00
goods	1729	2	3151.70	2065.40
goods	1730	1	1640.00	1630.00
goods	1731	1	310.00	300.00
goods	1735	1	370.00	320.00
goods	1737	4	2752.76	1762.46
goods	1740	2	829.00	590.00
goods	1741	1	668.00	288.00
goods	1742	8	5965.00	4152.00
goods	1750	1	449.81	257.81
goods	1751	1	1100.00	828.00
goods	1752	2	1920.00	1512.00
goods	1753	1	560.00	400.00
goods	1757	1	667.00	146.00
goods	1768	3	913.00	498.00
goods	1769	2	760.00	266.00
goods	1770	1	300.00	290.00
goods	1771	3	1244.00	608.00
goods	1773	1	1580.00	1137.24
goods	1780	2	1230.00	785.00
goods	1782	1	290.00	270.00
goods	1783	1	450.00	44.00
goods	1794	9	4683.03	1777.03
goods	1795	4	2470.00	1093.00
goods	1796	8	2678.48	1039.87
goods	1797	2	953.78	588.78
goods	1798	2	1533.00	1203.00
goods	1799	2	2800.00	2260.00
goods	1801	1	820.00	268.00
goods	1802	3	3620.00	2570.00
goods	1805	2	1508.00	808.00
goods	1806	2	4162.00	2500.00
goods	1807	1	2780.00	1365.00
goods	1809	2	660.00	400.00
goods	1811	1	2316.20	919.24
goods	1813	1	320.00	150.00
goods	1817	1	750.00	657.00
goods	1818	1	540.00	159.00
goods	1823	1	435.00	85.00
goods	1835	1	790.00	702.00
goods	1843	1	320.00	100.00
goods	1846	1	370.00	252.00
goods	1851	1	570.00	280.00
goods	1856	1	471.00	192.00
goods	1859	1	1245.36	251.96
goods	1860	3	2212.00	1049.00
goods	1861	8	5645.60	2681.04
goods	1862	2	872.00	176.00
goods	1869	2	1643.10	1241.85
goods	1873	1	530.00	350.00
goods	1877	1	825.00	500.00
goods	1879	2	2000.00	876.00
goods	188	1	980.00	389.00
goods	1883	4	9800.00	8438.00
goods	1884	5	21390.00	14478.00
goods	1885	2	3368.76	2430.92
goods	1887	2	4742.53	3155.51
goods	1892	1	290.00	186.00
goods	1893	4	1347.00	936.00
goods	1896	3	1418.00	1140.00
goods	1898	1	310.00	270.00
goods	1899	1	320.00	250.00
goods	1900	1	400.00	390.00
goods	1901	1	250.00	240.00
goods	1903	3	1195.00	731.00
goods	1906	1	444.00	300.00
goods	19082	3	1680.00	1111.00
goods	19085	1	575.00	440.00
goods	19087	2	1254.00	898.00
goods	19088	4	6040.02	3878.00
goods	1911	7	4046.94	2397.33
goods	1914	3	3548.00	1676.00
goods	1915	3	6297.00	4243.00
goods	1916	2	2803.76	1045.76
goods	1917	1	1330.00	910.00
goods	1919	1	1300.00	863.00
goods	1920	10	23285.08	13664.00
goods	1921	3	6175.95	3786.61
goods	19218	1	1430.00	828.00
goods	1923	2	4564.02	949.86
goods	19251	1	770.00	675.00
goods	1927	1	708.00	80.00
goods	1933	1	298.00	111.00
goods	1935	5	13959.38	9450.70
goods	1938	3	969.75	281.35
goods	1940	3	3420.00	785.00
goods	1942	3	8263.48	3169.74
goods	1943	5	9342.00	4935.00
goods	1966	4	4881.01	3746.31
goods	1967	3	1293.00	876.00
goods	1970	1	268.00	189.00
goods	1971	4	2867.39	1544.76
goods	1973	1	1400.00	1300.00
goods	1975	18	14440.57	10323.56
goods	1976	1	720.00	280.00
goods	1977	5	6805.90	5781.90
goods	1978	1	1456.20	544.00
goods	1979	1	1680.00	334.00
goods	198	1	630.00	249.00
goods	1981	3	5860.00	2735.00
goods	1983	1	340.00	180.00
goods	1984	1	280.00	182.00
goods	1985	1	1400.00	1400.00
goods	1987	1	269.00	156.00
goods	1990	2	4038.67	2492.56
goods	1991	5	7683.94	4867.47
goods	1992	2	780.00	547.72
goods	1993	3	3980.00	2780.00
goods	1994	19	29025.02	22334.72
goods	1995	8	8968.59	3368.26
goods	1997	1	2493.00	1275.00
goods	1998	1	1510.00	1200.00
goods	1999	2	6760.00	6330.00
goods	2001	2	3550.00	3274.00
goods	2003	4	8780.00	2782.00
goods	2004	17	17690.59	11389.76
goods	2006	4	5239.19	3190.19
goods	2007	14	17827.64	15206.07
goods	2008	5	5516.26	2546.30
goods	2010	1	470.00	225.00
goods	2012	1	700.00	277.00
goods	2013	5	10778.00	7052.00
goods	2014	3	6992.00	3265.00
goods	2015	2	2480.92	758.26
goods	2017	1	540.00	318.00
goods	2018	1	680.00	480.00
goods	2020	2	2523.00	1946.00
goods	2021	4	1503.00	1115.00
goods	2023	7	13230.00	7635.00
goods	2024	1	2520.01	2500.01
goods	2025	5	2707.00	1494.00
goods	2026	7	6001.08	3698.00
goods	2028	1	2470.00	2205.00
goods	2029	1	1300.00	875.00
goods	2037	2	3620.00	1901.00
goods	2042	4	7350.00	4502.00
goods	2043	5	10113.62	7199.62
goods	2044	5	11151.27	6842.02
goods	2045	2	1225.81	874.00
goods	2046	5	8599.82	2951.47
goods	2047	6	8273.00	3789.00
goods	2048	5	8140.00	3492.22
goods	205	1	461.00	46.00
goods	2050	5	7416.72	3191.18
goods	2051	1	5790.00	5031.00
goods	2052	4	6458.00	3635.00
goods	2053	1	1885.00	615.00
goods	2054	1	2266.00	1048.00
goods	2055	1	1020.00	800.00
goods	2059	1	850.00	747.00
goods	20591	1	780.00	613.00
goods	2061	34	53715.86	32938.09
goods	20626	1	3040.00	2320.00
goods	20679	1	310.00	300.00
goods	20693	1	340.00	330.00
goods	20805	1	1920.00	1456.00
goods	20966	1	778.00	438.00
goods	20973	1	376.00	215.00
goods	21003	1	610.00	480.00
goods	21024	3	1510.00	1420.00
goods	21032	1	460.00	301.00
goods	21033	2	800.00	518.00
goods	21036	1	390.00	304.00
goods	21052	1	455.70	299.60
goods	21064	1	830.00	560.00
goods	21065	1	530.00	174.00
goods	21069	2	1159.00	682.00
goods	211	1	370.00	350.00
goods	212	1	1050.00	200.00
goods	2122	6	9963.47	7952.47
goods	2123	1	1890.00	753.00
goods	2124	4	7793.32	4974.16
goods	2125	99	69138.63	41540.90
goods	2126	16	10802.15	7010.00
goods	2127	55	38222.54	29889.59
goods	2128	1	1400.00	1340.00
goods	21288	1	282.76	174.00
goods	2129	3	3650.00	2252.00
goods	2130	1	1530.00	1520.00
goods	21302	1	1119.08	971.08
goods	2138	1	660.00	325.00
goods	214	1	380.00	126.00
goods	2140	5	4136.06	3180.03
goods	2141	10	4834.84	3620.00
goods	2142	3	5333.53	4084.53
goods	2143	1	2220.00	2120.00
goods	21433	1	1050.00	950.00
goods	2144	1	2080.00	1845.00
goods	2145	4	6346.64	5279.16
goods	2146	2	4427.19	1970.19
goods	2147	1	1050.00	475.00
goods	2148	2	3451.00	2671.00
goods	215	2	1127.00	892.00
goods	2151	1	578.00	285.00
goods	2152	1	430.00	420.00
goods	2153	1	1210.00	928.00
goods	2154	5	7020.00	4852.00
goods	2155	1	910.00	348.00
goods	2157	3	7760.00	4866.00
goods	2158	7	11613.00	8386.00
goods	2159	19	31013.00	19485.00
goods	2160	20	10333.00	6855.00
goods	2161	2	888.00	820.00
goods	2162	1	2030.00	1818.00
goods	2163	12	4355.79	2958.79
goods	2164	5	4151.00	2704.00
goods	2168	10	4911.36	2914.58
goods	2169	14	12832.86	10777.70
goods	2170	75	61626.48	37937.15
goods	2171	1	364.00	109.00
goods	2174	2	1520.00	1168.00
goods	2176	8	4184.71	2832.41
goods	21802	1	260.00	260.00
goods	2181	2	1640.00	1360.00
goods	2182	7	6003.34	4116.17
goods	2183	4	3325.74	2638.39
goods	2187	1	250.00	120.00
goods	2191	2	657.00	319.00
goods	2195	2	5566.18	3430.18
goods	2196	1	5478.00	2988.00
goods	2197	1	1152.00	1024.00
goods	220	1	420.00	400.00
goods	2205	1	1000.00	980.00
goods	2216	3	3351.60	1867.60
goods	2219	2	2166.48	1475.24
goods	2222	1	1080.00	700.00
goods	2226	1	1210.00	580.00
goods	2227	4	5785.40	2857.70
goods	223	5	4377.48	2729.74
goods	2236	11	17466.08	10969.80
goods	22360	1	1050.00	1000.00
goods	224	3	3340.84	1292.84
goods	2241	19	30005.17	20579.95
goods	2242	19	29367.83	18686.43
goods	2243	2	2019.40	850.00
goods	2244	28	32594.01	23101.73
goods	2245	12	15189.00	10586.95
goods	2246	59	75218.04	58512.42
goods	2247	47	60304.75	45616.52
goods	225	2	1128.00	391.00
goods	22584	1	909.00	711.00
goods	22590	2	1990.00	1580.00
goods	22593	1	1995.00	1150.00
goods	22594	1	1470.00	1260.00
goods	22604	2	3100.00	2601.00
goods	22606	1	2060.00	1960.00
goods	22623	1	1150.00	660.00
goods	2271	5	4185.00	3472.00
goods	2272	5	7890.00	6484.00
goods	2273	1	3264.61	2268.84
goods	2275	3	11710.00	9831.00
goods	2276	1	3028.94	2343.47
goods	2277	1	4984.25	3299.85
goods	229	3	1378.12	1152.56
goods	230	1	169.00	32.00
goods	231	22	25734.02	17361.33
goods	232	15	14041.00	9516.19
goods	233	5	4170.68	1389.92
goods	2336	1	6480.00	4680.00
goods	234	6	10414.00	7047.00
goods	2344	2	1130.00	970.00
goods	2345	2	1140.00	934.97
goods	2346	2	4039.00	2984.00
goods	2347	2	1750.00	865.00
goods	235	23	38862.85	29179.47
goods	236	9	17063.08	11790.08
goods	240	2	2380.00	511.00
goods	241	6	6974.44	4265.61
goods	2413	2	5239.80	4056.00
goods	242	16	16659.20	12447.60
goods	243	1	1378.44	620.00
goods	2433	5	11956.34	10310.34
goods	2434	5	10770.00	8432.00
goods	24426	1	2989.62	1613.81
goods	24430	2	759.00	612.00
goods	24431	1	261.00	180.00
goods	24438	1	1059.00	1049.00
goods	24439	11	6422.00	4290.00
goods	245	6	6191.00	4942.00
goods	247	3	5070.00	3029.00
goods	24760	4	5285.00	3654.00
goods	24761	2	2800.00	1990.00
goods	24774	1	1890.00	1074.00
goods	24779	1	3060.00	2960.00
goods	2478	1	8020.00	8000.00
goods	24784	2	857.00	406.00
goods	24785	3	1451.00	1334.00
goods	24786	1	410.00	400.00
goods	24787	4	2360.00	1956.00
goods	24791	2	5176.17	3365.17
goods	248	1	460.00	360.00
goods	2481	15	16705.75	13738.75
goods	2482	3	3280.00	3020.00
goods	2488	4	2330.72	1495.08
goods	2489	978	1250170.62	775695.10
goods	249	19	19286.00	17577.00
goods	2491	7	7405.75	5228.37
goods	2492	8	4968.00	3719.00
goods	2493	1	1499.30	699.65
goods	2495	3	1980.00	1856.00
goods	2497	9	2405.00	1818.00
goods	2498	4	1780.00	1378.00
goods	2499	14	7516.00	4027.00
goods	2501	5	8134.00	5760.00
goods	2502	2	2284.00	1120.00
goods	2503	11	17502.33	10128.90
goods	2504	2	701.60	291.04
goods	2508	3	1074.00	720.00
goods	2509	8	10767.00	6384.00
goods	251	3	2279.20	1360.20
goods	2510	17	10051.90	6899.03
goods	2511	4	3640.01	3366.01
goods	2512	5	3870.00	3298.00
goods	2514	7	7072.00	6157.00
goods	2515	4	5476.72	3301.84
goods	2516	1	515.00	255.00
goods	2518	1	1340.00	1330.00
goods	252	9	15782.19	5336.79
goods	2520	4	4700.00	3806.00
goods	2523	1	1195.00	881.00
goods	2524	2	2480.00	1518.00
goods	2525	73	118856.00	82791.55
goods	25260	2	1901.50	1338.50
goods	25266	1	2790.00	2192.00
goods	25267	2	2960.00	1981.00
goods	2527	2	1022.00	510.11
goods	2528	1	330.00	224.00
goods	2529	20	9942.21	5953.96
goods	253	2	2971.00	590.00
goods	2530	21	20333.00	16580.00
goods	2533	2	5724.43	3335.00
goods	2534	1	250.00	240.00
goods	2537	1	1436.00	987.00
goods	2538	1	4047.00	2925.00
goods	2540	3	2460.00	2016.00
goods	2543	3	2650.00	1913.00
goods	2547	2	760.00	585.00
goods	2554	1	270.00	260.00
goods	2556	1	410.00	280.00
goods	2559	4	1649.78	1433.78
goods	256	2	1890.00	1011.00
goods	2560	1	1137.00	624.00
goods	2562	1	880.00	510.00
goods	2564	1	980.00	873.00
goods	2568	3	3480.00	2429.68
goods	2569	1	1149.88	879.94
goods	2570	41	66685.27	40728.56
goods	2574	3	2719.56	2313.56
goods	258	1	320.00	155.00
goods	2583	1	310.00	300.00
goods	2584	1	328.21	251.70
goods	2589	1	1330.00	750.00
goods	259	13	25748.94	10045.47
goods	2594	2	618.83	464.61
goods	2596	2	1775.00	850.00
goods	2600	2	2060.00	1244.00
goods	2605	1	360.00	315.00
goods	2607	9	9298.79	5854.77
goods	261	2	2880.00	1800.00
goods	2616	1	975.00	575.00
goods	265	15	18270.23	6904.59
goods	26528	1	5650.00	4360.00
goods	266	1	570.87	455.87
goods	267	7	8921.00	1457.62
goods	268	2	1560.00	580.00
goods	269	3	850.00	589.00
goods	26978	1	1829.36	1067.36
goods	270	2	1222.00	800.00
goods	271	11	14194.77	7083.77
goods	2747	1	368.00	144.00
goods	275	4	4620.00	1795.00
goods	2756	1	440.00	387.00
goods	276	2	525.00	376.00
goods	28139	1	2264.00	1518.00
goods	28142	1	2251.89	1049.58
goods	28155	1	450.00	450.00
goods	282	1	457.00	225.00
goods	28202	1	1253.24	1073.24
goods	288	4	10850.00	10112.00
goods	289	9	32766.11	26266.11
goods	29069	1	1809.00	1165.00
goods	295	3	2554.00	1042.36
goods	29768	1	1800.00	1600.00
goods	298	1	858.20	94.55
goods	29815	1	5216.10	3475.10
goods	299	5	5731.60	4022.20
goods	302	3	3458.02	1597.91
goods	305	1	1450.00	280.00
goods	308	3	1540.00	800.00
goods	30812	1	650.00	567.00
goods	30813	1	710.00	630.00
goods	309	1	511.00	50.00
goods	30959	1	900.00	801.00
goods	310	8	5350.00	3431.00
goods	311	12	8555.02	3423.00
goods	312	8	8284.05	3039.05
goods	313	8	9604.01	7719.01
goods	319	3	1320.41	647.75
goods	324	9	3582.00	3075.00
goods	325	2	760.00	592.00
goods	32505	1	1300.00	1250.00
goods	32540	1	700.00	218.00
goods	32618	1	480.00	405.00
goods	32626	1	880.00	687.99
goods	32667	1	780.00	675.00
goods	32670	1	560.00	540.00
goods	32683	1	600.00	413.00
goods	32689	1	1080.00	784.00
goods	328	3	1223.00	1036.00
goods	32837	1	740.00	609.00
goods	32848	1	66.00	14.00
goods	33075	8	7505.35	5969.00
goods	33076	1	2350.00	2200.00
goods	331	2	4700.00	4335.00
goods	333	9	4893.26	3096.26
goods	334	1	2710.00	1890.00
goods	335	2	4091.86	1792.86
goods	336	1	2010.00	195.00
goods	33644	1	4980.00	3762.00
goods	337	2	2480.00	2271.00
goods	338	1	1880.00	567.00
goods	339	2	2645.00	1590.00
goods	340	8	13180.00	9546.00
goods	341	18	25262.43	14677.80
