d	status	n
2026-09-01	8	19
2026-09-01	15	1
2026-09-02	8	51
2026-09-02	15	8
2026-09-03	8	26
2026-09-03	15	16
2026-09-04	8	3
2026-09-04	15	9
2026-09-05	8	6
2026-09-05	15	12
2026-09-06	8	6
2026-09-06	15	12
2026-09-07	8	2
2026-09-07	15	11
2026-09-08	8	4
2026-09-08	15	7
2026-09-09	8	5
2026-09-09	15	7
2026-09-10	8	4
2026-09-10	15	6
