product_id	cost
1938	199.0000
1936	110.0000
1933	149.0000
1944	1185.0000
1943	934.0000
1932	149.0000
1930	223.0000
1927	434.0000
1926	404.0000
1925	464.0000
1924	842.0000
1923	1399.0000
1922	959.0000
1919	779.0000
1811	1200.0000
1753	359.0000
1752	374.0000
1751	303.0000
1747	77.0000
1746	77.0000
1744	41.0000
1743	29.0000
1742	359.0000
1741	439.0000
1740	184.0000
1737	239.0000
1736	354.0000
1735	214.0000
1733	147.0000
1732	191.0000
1731	184.0000
1730	879.0000
1729	719.0000
1728	369.0000
1727	1035.0000
1726	183.0000
1725	127.0000
1724	89.0000
1723	296.0000
1721	88.0000
1719	81.0000
1713	332.0000
1712	258.0000
1711	167.0000
1710	295.0000
1709	73.0000
1707	45.0000
1706	95.0000
1704	88.0000
1703	88.0000
1702	103.0000
1701	125.0000
1700	162.0000
1699	63.0000
1698	184.0000
1697	66.0000
1695	155.0000
1692	103.0000
1691	88.0000
1690	88.0000
1689	88.0000
1688	88.0000
1685	559.0000
1684	1299.0000
1683	545.0000
1682	535.0000
1681	569.0000
1665	155.0000
1658	1960.0000
1657	1960.0000
1656	1884.0000
1651	265.0000
1650	335.0000
1647	879.0000
1646	605.0000
1645	799.0000
1643	1719.0000
1641	88.0000
1640	449.0000
1639	419.0000
1638	389.0000
1636	159.0000
1635	37.6200
1633	161.2300
1632	171.9800
1631	72.0200
1630	59.1200
1629	51.5900
1628	107.4900
1627	77.3900
1625	72.0200
1624	162.8300
1623	33.8600
1622	33.8600
1612	182.7300
1609	248.0000
1607	88.0000
1604	545.0000
1603	215.0000
1568	221.3600
1583	260.2200
1581	1305.0000
1582	260.1400
1564	132.0000
1580	1450.0000
1563	149.0000
1562	107.0000
1561	543.0000
1560	447.0000
1559	639.0000
1556	147.0000
1555	125.0000
1579	1600.0000
1552	95.0000
1578	1600.0000
1577	1400.0000
1576	990.0000
1547	56.0200
1500	2559.0000
1499	1999.0000
1497	615.0000
1496	30.2500
1495	38.9000
1493	37.2600
1492	172.0100
1544	900.0000
1485	1200.0000
1484	999.0000
1483	82.0000
1543	850.0000
1542	59.7000
1541	171.2300
1538	650.0000
1537	1380.0000
1536	1070.0000
1535	1039.0000
1529	1650.0000
1528	1100.0000
1520	147.0000
1519	169.0000
1518	199.0000
1516	207.0000
1515	1359.0000
1514	1011.0000
1513	866.0000
1512	645.0000
1511	424.0000
1508	767.0000
1454	959.0000
1453	719.0000
1452	1439.0000
1451	2079.0000
1450	1730.0000
1449	1380.0000
1443	179.0100
1465	326.0000
1464	148.0000
1462	162.0000
1461	147.0000
1460	199.0000
1459	143.0000
1458	159.0000
1457	503.0000
1456	424.0000
1455	935.0000
1442	155.8600
1441	698.6700
1438	77.3900
1435	80.9300
1434	56.1900
1433	47.5400
1431	51.0000
1430	42.3600
1428	16.4200
1422	21.0500
1421	18.7400
1420	66.5600
1413	853.1200
1406	1400.0000
1405	1220.0000
1402	296.0000
1384	83.5300
1382	823.0000
1381	1291.0000
1380	819.0000
1379	987.0000
1335	27.1700
1334	82.8100
1332	231.1000
1373	949.0000
1372	879.0000
1371	871.0000
1370	959.0000
1369	923.0000
1296	839.0000
1277	753.5200
1271	449.0000
1363	237.0000
1254	852.0000
1253	813.0000
1251	759.0000
1250	887.0000
1152	183.0000
1249	665.0000
1151	183.0000
1150	459.0000
1147	2422.0000
1146	1699.0000
1145	1189.0000
1144	1104.0000
1143	1359.0000
1248	142.0000
1237	237.0000
1235	151.0000
1226	214.9800
1223	75.7700
1222	58.2200
1221	37.7200
1208	79.8000
1220	37.8400
1207	79.8000
1219	39.8400
1194	696.0000
1193	415.0000
1192	405.0000
1206	93.9100
1190	379.0000
1164	125.0000
1163	97.0000
1155	151.0000
1107	231.1000
1106	241.8500
1105	188.1000
1101	1519.0000
1100	59.6400
1099	231.1000
1092	1217.0000
1090	2125.0000
1089	580.0000
1082	845.0000
1078	2039.0000
1077	2159.0000
1067	1350.0000
1066	1300.0000
1065	1200.0000
1064	1170.0000
1062	909.0000
1061	769.0000
1060	594.0000
1059	499.0000
1058	429.0000
1057	349.0000
1051	106.9200
1050	106.9200
1049	106.9200
1048	125.8200
1047	125.2700
1046	124.6300
1045	92.4300
1044	125.3300
1042	123.3700
1041	125.8200
1040	102.5600
1039	40.0900
1038	21.6400
1037	1299.6300
1036	95.0000
1035	591.0000
1034	562.0000
1030	295.0000
1027	319.0000
1025	422.0000
1024	199.0000
1023	207.0000
1022	214.0000
997	1700.0000
998	1700.0000
1003	168.0000
1004	245.0000
1011	920.0000
1010	892.0000
1009	650.0000
1008	650.0000
1007	600.0000
1006	845.0000
1005	768.0000
1002	228.0000
1001	159.0000
1000	1750.0000
988	759.0000
987	879.0000
982	35.0600
967	133.1700
966	63.9300
965	83.8600
964	118.8200
962	174.7300
961	59.5800
959	169.4800
958	296.0000
957	151.0000
956	155.8600
955	139.7300
954	225.7200
953	136.8100
952	249.6200
951	41.5000
950	218.6500
949	114.4300
947	157.8900
946	220.9200
945	155.8600
944	290.2200
943	559.0000
942	591.0000
940	1763.0000
939	549.1500
936	317.0900
934	863.0000
933	1663.0000
912	995.0000
910	500.0000
911	1115.0000
909	490.0000
908	975.0000
907	950.0000
906	1115.0000
905	920.0000
904	960.0000
903	840.0000
902	880.0000
901	800.0000
900	560.0000
899	1150.0000
898	1050.0000
897	900.0000
