id	parent_id	name
488	648	ხელის ინსტრუმენტების ნაკრები
490	292	საოფისე ავეჯი
492	235	სათამაშოები
496	292	რბილი ავეჯი
502	146	განათება
503	146	აბაზანა
504	503	აბაზანის ავეჯი
505	503	ხელსაბანები & ნიჟარები
506	502	ტორშერი
507	503	უნიტაზი & ბიდეები
508	503	საშხაპე კაბინები & მოწყობილობები
509	502	ღამის სანათები
513	502	მაგიდის სანათები
514	502	ბრა
515	502	დეკორატიული განათება
517	649	გარე განათება
518	502	ჭაღები
519	502	დაუნლაითი
521	314	პავილიონი & ტენტი
522	502	ბაღის განათება
524	334	ბაღის მტვერსასრუტი
525	334	ბაღის მოტო და ელექტრო ინსტრუმენტები
526	649	ბარბექიუ & გრილი
527	526	გრილი-ბარბექიუ
528	526	ბარბექიუს აქსესუარები
530	689	სახლის მოვლა
531	435	რობოტი აუზის
532	292	მისაღები
533	468	უნისექსი
534	66	სათამაშო კონსოლი
535	689	სარეცხი მანქანები
536	467	სამაჯური
537	536	კაცის სამაჯური
538	536	ქალის სამაჯური
539	467	ბეჭედი
540	467	საყურე
541	467	ყელსაბამი
542	467	საფულე
543	544	მეხსიერების ბარათი
544	150	აქსესუარები
547	648	ხელის მოტობლოკი
548	66	ფლეისთეიშენი
550	503	აბაზანები
552	504	ხელსაბნის ტუმბო
553	504	აბაზანის კარადები
554	504	აბაზანის სარკე
555	650	ბუხარი
556	647	კომპრესორი
557	657	შპალერი
558	146	ტექსტილი
559	558	ფარდა-ჟალუზი
560	496	სამეული
561	398	შეერთება პლინტუსის
562	398	კუთხე გარე
563	398	კუთხე შიდა
564	398	საცობი
566	398	პლინტუსი
567	532	თარო
568	389	ფილა
569	568	იატაკის ფილა
570	568	კაფელი
571	568	კერამოგრანიტი
572	568	კლინკერის ფილა
573	389	მინაბლოკი
574	326	კარ-ფანჯარა & ფურნიტურა
575	574	შიდა კარები
576	574	შემოსასვლელი კარები
579	657	კარნიზი
580	579	კარნიზის მაკომპლექტებლები
581	502	სპოტი
582	645	შალაშინი
583	648	თარაზო
584	645	სტეპლერი
585	480	შესადუღებელი აპარატი
586	344	ლენტური ხერხი
587	645	არხის საჭრელი
588	344	ხმლისებრი ხერხი
589	344	ტორსული ხერხი
590	344	დისკური ხერხი
591	344	ცირკულარული ხერხი
592	647	სამშენებლო მტვერსასრუტები
593	645	ტექნიკური ფენი
594	657	საღებავები და ლაქები
595	594	ინტერიერის საღებავები
596	595	იატაკის საღებავები
597	595	ფილების საღებავი
598	595	კედლის საღებავები
599	595	ჭერის საღებავები
600	595	ხის ზედაპირებისთვის
601	594	ფასადის საღებავი
602	601	ბეტონის საღებავები
603	595	ავეჯის საღებავები
604	601	კედლების საღებავები
605	594	ლაქი
606	601	ლითონის საღებავები
607	594	ხის საფარი
608	594	ემალები
609	608	ალკიდური
610	532	კარადა
611	75	პლანშეტი
613	143	ყავის საფქვავი
614	53	კვების წყაროები
615	40	აუდიო სისტემები
616	53	პროექტორი
617	616	პროექტორის აქსესუარები
618	40	საკიდი
619	653	პორტატული კონდიციონერი
620	594	ზეთის საღებავები
623	148	ფილტრები
624	235	ჰოვერბორდი
625	662	ჩაის დასაყენებელი
626	492	ელექტრო მანქანები
628	53	მიკროფონები
629	675	ქოთანი
630	466	საძინებლის კარადა
631	689	მაცივრები
632	535	სარეცხი მანქანა
633	465	აუზის კიბე
634	532	მისაღების კომპლექტი
635	466	საძინებელის კომპლექტი
636	521	ქოლგები და სადგამები
637	521	ფარდულები
638	314	ბაღის სათავსო
639	1	ბავშვთა სამყარო
640	639	საწოლ-მანეჟები
641	639	ველოეტლები
642	639	სასადილო სკამი
643	639	ჭოჭინები
644	671	ღვინის სადგამი
645	326	ელექტრო ტექნიკა
646	689	სილამაზე &თავის მოვლა
647	326	სამშენებლო ტექნიკა
648	326	საზომი მოწყობილობები
649	1	ეზო & გარე სივრცე
650	1	გათბობა
651	650	რადიატორი
652	650	პორტატული გამათბობელი
653	689	კონდიციონერი & გაგრილება
655	689	ფოტო & ვიდეო
657	326	კედელი & ინტერიერი
658	34	დასუფთავება
659	34	კულინარიული ტექნიკა
660	38	ღუმელი
661	659	ბლენდერი & მიქსერი
662	659	ჩაი & ყავა & სასმელები
663	34	სხვა ტექნიკა
664	690	ტაფა & ნაკრები
665	690	ქვაბი & ნაკრები
666	464	ჭიქები & ნაკრები
667	659	დესერტის & სნექის ტექნიკა
668	659	აეროგრილი & გრილი
669	659	ხორცის & ბოსტნეულის დამუშავება
671	146	ინტერიერის დეკორაცია
672	292	კომოდი & ტუმბო
673	492	ასაწყობი სათამაშოები
674	146	დეკორი
675	649	მცენარის მოვლა
676	464	ჭურჭელი
677	674	კედლის დეკორი
678	464	კონტეინერები
679	258	სალაშქრო ინვენტარი
680	464	სამზარეულოს დანები
681	674	სარკე
682	146	საყოფაცხოვრებო ნივთები
683	292	ტანსაცმლის საკიდი
684	292	ტელევიზორის მაგიდა
685	464	ჩაიდანი
686	675	ხელსაწყოები & აქსესუარები
687	34	სახლის მოვლის ტექნიკა
688	530	ქსოვილის მოვლა
689	1	ტექნიკა
690	464	ტაფა & ქვაბი
691	38	აეროგრილები და ღუმელები
692	691	მიკროტალღური ღუმელები
693	691	ელექტრო ღუმელები
694	530	ღრმა წმენდის აპარატები
695	688	ორთქლის უთოები
696	688	ვერტიკალური უთოები
697	688	ორთქლის გენერატორები
698	530	მტვერსასრუტები
699	698	კლასიკური მტვერსასრუტები
700	698	ხელის მტვერსასრუტები
701	698	რობოტი მტვერსასრუტები
702	38	ინგრედიენტების დამუშავება
703	702	სტაციონალური ბლენდერები
704	702	ხელის ბლენდერები
705	702	სტაციონალური მიქსერები
706	702	ხელის მიქსერები
707	702	ჩოფერები
708	702	სამზარეულოს კომბაინები
709	702	დეჰიდრატორები
710	702	იოგურტის & ნაყინის აპარატები
711	702	წვენსაწურები
712	702	ხორცსაკეპები
713	38	ელექტრო ჩაიდნები
714	530	ელექტრო გამათბობლები
715	530	ჰაერის გამწმენდები & დამატენიანებლები
716	689	მსხვილი ტექნიკა
717	38	ცხობის და გრილის ტექნიკა
718	717	ტოსტერები
719	717	სენდვიჩის აპარატები
720	717	სახლის გრილები
721	717	ვაფლის და ბლინის აპარატები
723	38	ყავის მომზადება
724	723	ყავის აპარატები
725	723	საფქვავები და რძის ამომყვანები
