d	act	pm	wb	loans	amt
2026-09-05	1	68	3	88	12362.02
2026-09-05	1	68	4	10	1917.59
2026-09-05	1	68	6	1	1440.00
2026-09-06	0	0	2	4	590.00
2026-09-06	0	0	3	1	100.00
2026-09-06	0	0	6	303	218978.22
2026-09-06	0	3	2	1	172.00
2026-09-06	0	3	3	1	81.00
2026-09-06	0	3	6	7	749.00
2026-09-06	0	12	6	4	73.00
2026-09-06	1	0	1	17	2119.00
2026-09-06	1	0	2	41	5492.25
2026-09-06	1	0	3	40	4738.86
2026-09-06	1	0	4	181	49333.28
2026-09-06	1	0	5	163	63483.09
2026-09-06	1	0	6	510	366145.35
2026-09-06	1	3	1	72	8076.18
2026-09-06	1	3	2	52	5116.10
2026-09-06	1	3	3	149	18267.24
2026-09-06	1	3	4	24	6422.86
2026-09-06	1	12	1	24	2874.21
2026-09-06	1	12	2	25	2207.18
2026-09-06	1	12	3	88	12874.90
2026-09-06	1	12	4	12	3706.69
2026-09-06	1	68	1	32	3915.48
2026-09-06	1	68	2	18	2540.92
2026-09-06	1	68	3	88	12367.02
2026-09-06	1	68	4	10	2424.59
2026-09-06	1	68	6	1	1440.00
2026-09-07	0	0	2	4	590.00
2026-09-07	0	0	3	1	100.00
2026-09-07	0	0	6	303	218978.22
2026-09-07	0	3	3	2	253.00
2026-09-07	0	3	6	7	749.00
2026-09-07	0	12	6	4	73.00
2026-09-07	1	0	1	11	1333.00
2026-09-07	1	0	2	43	5746.25
2026-09-07	1	0	3	43	5185.86
2026-09-07	1	0	4	179	48481.28
2026-09-07	1	0	5	161	62641.09
2026-09-07	1	0	6	513	367515.35
2026-09-07	1	3	1	66	7698.99
2026-09-07	1	3	2	53	4969.52
2026-09-07	1	3	3	146	17428.82
2026-09-07	1	3	4	31	7702.86
2026-09-07	1	12	1	22	3094.25
2026-09-07	1	12	2	25	2025.90
2026-09-07	1	12	3	83	12348.78
2026-09-07	1	12	4	18	4473.81
2026-09-07	1	68	1	18	2183.67
2026-09-07	1	68	2	21	2744.31
2026-09-07	1	68	3	88	12358.02
2026-09-07	1	68	4	11	2584.59
2026-09-07	1	68	6	1	1440.00
2026-09-08	0	0	2	4	590.00
2026-09-08	0	0	3	1	100.00
2026-09-08	0	0	6	303	218978.22
2026-09-08	0	3	3	2	253.00
2026-09-08	0	3	6	7	749.00
2026-09-08	0	12	6	4	73.00
2026-09-08	1	0	1	12	1363.95
2026-09-08	1	0	2	47	5867.67
2026-09-08	1	0	3	43	5185.86
2026-09-08	1	0	4	179	48585.28
2026-09-08	1	0	5	159	62450.09
2026-09-08	1	0	6	515	372508.77
2026-09-08	1	3	1	86	9903.97
2026-09-08	1	3	2	54	5036.57
2026-09-08	1	3	3	142	16709.69
2026-09-08	1	3	4	31	8991.86
2026-09-08	1	12	1	57	7835.14
2026-09-08	1	12	2	30	2735.90
2026-09-08	1	12	3	81	12273.61
2026-09-08	1	12	4	18	5101.81
2026-09-08	1	68	1	52	6358.77
2026-09-08	1	68	2	24	3121.62
2026-09-08	1	68	3	87	12207.02
2026-09-08	1	68	4	11	2982.59
2026-09-08	1	68	6	1	1440.00
2026-09-09	0	0	2	3	450.00
2026-09-09	0	0	3	2	240.00
2026-09-09	0	0	6	303	218978.22
2026-09-09	0	3	3	2	253.00
2026-09-09	0	3	6	7	749.00
2026-09-09	0	12	6	4	73.00
2026-09-09	1	0	1	14	1671.95
2026-09-09	1	0	2	50	6229.67
2026-09-09	1	0	3	43	4830.86
2026-09-09	1	0	4	156	42180.31
2026-09-09	1	0	5	171	64808.85
2026-09-09	1	0	6	526	377785.98
2026-09-09	1	3	1	61	6572.81
2026-09-09	1	3	2	96	9947.62
2026-09-09	1	3	3	142	17269.69
2026-09-09	1	3	4	31	8991.86
2026-09-09	1	12	1	51	6549.65
2026-09-09	1	12	2	40	4218.35
2026-09-09	1	12	3	80	12263.61
2026-09-09	1	12	4	18	5101.81
2026-09-09	1	68	1	50	6177.89
2026-09-09	1	68	2	36	4715.98
2026-09-09	1	68	3	85	12215.02
2026-09-09	1	68	4	11	2982.59
2026-09-09	1	68	6	1	1440.00
