order_id	entered	delivered_at	city_grp	top_product_id
55921	2026-09-07 14:09:08.536	NULL	Tbilisi	1374
55930	2026-09-05 13:51:38.135	NULL	Tbilisi	932
55932	2026-09-05 12:52:52.936	NULL	Tbilisi	2145
55940	2026-09-07 14:50:43.794	NULL	Tbilisi	1471
55942	2026-09-05 11:22:53.730	NULL	Without City	142265
55953	2026-09-05 11:51:03.580	NULL	Other Cities	1066
55954	2026-09-05 12:40:34.243	NULL	Tbilisi	2182
55961	2026-09-05 14:05:39.750	NULL	Other Cities	39999
55962	2026-09-05 13:44:29.141	NULL	Without City	1086
55966	2026-09-05 09:01:13.752	NULL	Without City	24438
55971	2026-09-08 10:06:48.936	NULL	Tbilisi	1193
55984	2026-09-08 10:10:40.778	NULL	Tbilisi	142276
55988	2026-09-07 07:20:55.732	NULL	Other Cities	71606
55991	2026-09-05 13:25:07.525	NULL	Tbilisi	1086
56004	2026-09-05 13:02:38.364	NULL	Other Cities	932
56007	2026-09-07 12:04:05.429	NULL	Tbilisi	2160
56027	2026-09-07 14:10:11.602	NULL	Other Cities	64146
56033	2026-09-08 10:56:15.491	NULL	Other Cities	21802
56036	2026-09-07 14:16:51.618	NULL	Tbilisi	2163
56048	2026-09-07 11:58:23.203	NULL	Other Cities	660
56074	2026-09-07 13:31:15.059	NULL	Without City	684
56079	2026-09-08 11:19:45.645	NULL	Tbilisi	1193
56092	2026-09-08 10:58:50.942	NULL	Tbilisi	142276
56114	2026-09-07 08:42:05.403	NULL	Tbilisi	2547
56123	2026-09-07 13:48:41.247	NULL	Other Cities	1472
56133	2026-09-07 09:27:20.644	NULL	Tbilisi	921
56141	2026-09-07 13:34:42.799	NULL	Tbilisi	3745
56145	2026-09-08 11:03:32.946	NULL	Tbilisi	39061
56159	2026-09-07 13:27:22.083	NULL	Tbilisi	862
56161	2026-09-07 11:06:41.841	NULL	Tbilisi	1190
56168	2026-09-08 08:29:00.591	NULL	Other Cities	58075
56174	2026-09-07 09:24:06.005	NULL	Other Cities	41444
56185	2026-09-07 12:12:03.188	NULL	Other Cities	1566
56204	2026-09-07 13:54:02.264	NULL	Other Cities	1663
56210	2026-09-08 09:31:24.139	NULL	Without City	142276
56223	2026-09-07 10:21:01.467	NULL	Tbilisi	2128
56240	2026-09-07 11:11:35.436	NULL	Other Cities	1192
56241	2026-09-07 14:13:42.611	NULL	Tbilisi	932
56254	2026-09-07 11:57:58.056	NULL	Without City	40245
56261	2026-09-07 13:59:14.049	NULL	Without City	117
56265	2026-09-08 07:50:54.848	NULL	Without City	1994
56272	2026-09-08 09:48:36.226	NULL	Other Cities	891
56284	2026-09-08 11:42:42.692	NULL	Tbilisi	3745
56288	2026-09-08 08:16:26.670	NULL	Without City	142259
56306	2026-09-08 11:06:03.533	NULL	Other Cities	38533
56334	2026-09-08 09:47:48.236	NULL	Tbilisi	41202
56343	2026-09-08 08:22:42.874	NULL	Tbilisi	1086
56344	2026-09-08 10:41:17.516	NULL	Other Cities	39777
56354	2026-09-08 10:28:33.250	NULL	Other Cities	68901
56361	2026-09-08 10:20:14.088	NULL	Tbilisi	249
56362	2026-09-08 10:17:24.743	NULL	Tbilisi	1544
56373	2026-09-08 08:31:38.920	NULL	Without City	2525
56376	2026-09-08 10:55:44.527	NULL	Tbilisi	932
56380	2026-09-08 07:57:27.351	NULL	Without City	891
56387	2026-09-08 11:15:24.423	NULL	Without City	999
56393	2026-09-08 11:42:00.482	NULL	Other Cities	481
