product_id	start_price	final_price	deal_type
12413	430.00	720.00	installment
12717	70.00	245.00	installment
13269	179.00	340.00	installment
15413	608.00	965.00	installment
15414	125.00	205.00	installment
10437	1930.00	3395.00	installment
15399	419.00	690.00	installment
15230	734.00	1420.00	installment
15462	192.00	330.00	installment
12575	420.00	690.00	installment
11781	650.00	1090.00	installment
632	164.00	320.00	installment
11751	294.00	490.00	installment
467	770.00	1320.00	installment
14541	1700.00	2780.00	installment
13749	130.00	250.00	installment
13749	130.00	250.00	installment
4634	399.00	700.00	installment
15408	105.00	270.00	installment
12129	2348.00	3870.00	installment
3999	119.00	230.00	installment
15409	449.00	810.00	installment
15411	214.00	350.00	installment
12474	420.00	720.00	installment
12713	1119.00	1930.00	installment
13296	615.00	1090.00	installment
11716	940.00	1540.00	installment
5266	530.00	870.00	installment
4787	155.00	290.00	installment
14664	39.00	100.00	installment
15427	65.00	120.00	installment
12575	420.00	690.00	installment
13060	160.00	340.00	installment
15415	185.00	320.00	installment
150	550.00	970.00	installment
14039	130.00	250.00	installment
15476	295.00	490.00	installment
14006	240.00	430.00	installment
12772	1930.00	3150.00	installment
6617	1020.00	1740.00	installment
9852	552.00	830.00	installment
12903	29.00	80.00	installment
14647	29.00	60.00	installment
14657	50.00	100.00	installment
13458	329.00	610.00	installment
12477	464.00	800.00	installment
12514	450.00	750.00	installment
14612	919.00	1530.00	installment
14310	870.00	1430.00	installment
13314	1660.00	2720.00	installment
12528	1329.00	2180.00	installment
3699	640.00	1060.00	installment
9064	580.00	960.00	installment
12514	450.00	750.00	installment
15423	1580.00	2590.00	installment
6096	680.00	1100.00	installment
4029	640.00	1070.00	installment
6078	680.00	1100.00	installment
15440	375.00	620.00	installment
7005	1099.00	1940.00	installment
13292	620.00	1220.00	installment
15429	895.00	1570.00	installment
8538	413.00	750.00	installment
9218	580.00	960.00	installment
11758	294.00	490.00	installment
13120	311.00	550.00	installment
7374	297.00	580.00	installment
11334	480.00	790.00	installment
15435	431.00	720.00	installment
15436	550.00	910.00	installment
14015	1116.00	2060.00	installment
13929	154.00	280.00	installment
13877	650.00	1090.00	installment
11751	294.00	490.00	installment
14384	375.00	670.00	installment
15438	1100.00	1810.00	installment
12567	420.00	690.00	installment
13895	500.00	820.00	installment
9440	480.00	790.00	installment
7644	635.00	1040.00	installment
14097	154.00	280.00	installment
12268	133.00	280.00	installment
13278	1.00	530.00	installment
14066	188.00	330.00	installment
15445	274.00	540.00	installment
14310	870.00	1430.00	installment
13574	791.00	1360.00	installment
14612	915.00	1525.00	installment
14027	990.00	1620.00	installment
5579	231.00	430.00	installment
15448	906.00	1770.00	installment
12474	430.00	720.00	installment
12794	865.00	1420.00	installment
14828	775.00	1270.00	installment
12787	990.00	1620.00	installment
9154	350.00	580.00	installment
11101	400.00	670.00	installment
15454	1580.00	2590.00	installment
13323	1264.00	2060.00	installment
12521	450.00	750.00	installment
9723	880.00	1480.00	installment
13784	1100.00	1810.00	installment
4733	690.00	1150.00	installment
13373	490.00	880.00	installment
15460	285.00	300.00	single
13273	460.00	790.00	installment
3698	560.00	950.00	installment
15480	295.00	570.00	installment
13256	450.00	750.00	installment
6084	995.00	1630.00	installment
14271	719.00	1330.00	installment
14767	1147.00	2060.00	installment
15464	250.00	490.00	installment
14989	160.00	270.00	installment
4634	399.00	700.00	installment
13877	650.00	1090.00	installment
11912	800.00	1320.00	installment
14326	1550.00	2540.00	installment
7644	635.00	1040.00	installment
14759	1765.00	2900.00	installment
15468	385.00	620.00	installment
15469	69.00	250.00	installment
3741	720.00	1210.00	installment
11503	650.00	1090.00	installment
12460	420.00	820.00	installment
9704	520.00	860.00	installment
13329	999.00	1630.00	installment
15425	799.00	1330.00	installment
3943	85.00	170.00	installment
8412	106.00	220.00	installment
8601	106.00	220.00	installment
14296	30.00	60.00	installment
14323	56.00	140.00	installment
14797	120.00	250.00	installment
14826	299.00	600.00	installment
721	185.00	340.00	installment
15478	11.00	5300.00	installment
14473	1550.00	2540.00	installment
15465	380.00	690.00	installment
4976	160.00	270.00	installment
14006	240.00	430.00	installment
14325	1335.00	2300.00	installment
15476	299.00	490.00	installment
15484	1280.00	2090.00	installment
13020	690.00	1210.00	installment
11374	290.00	560.00	installment
15487	170.00	290.00	installment
5033	465.00	820.00	installment
13273	460.00	790.00	installment
3698	560.00	940.00	installment
9290	790.00	1420.00	installment
15230	790.00	1420.00	installment
12413	430.00	720.00	installment
11882	770.00	1270.00	installment
12801	170.00	370.00	installment
15577	942.00	1570.00	installment
3775	465.00	760.00	installment
11904	95.00	160.00	installment
15495	110.00	180.00	installment
13444	1550.00	2540.00	installment
15500	690.00	1210.00	installment
11188	400.00	670.00	installment
14930	235.00	490.00	installment
13248	980.00	1610.00	installment
6096	680.00	1100.00	installment
6534	980.00	1610.00	installment
6063	720.00	1190.00	installment
9218	580.00	960.00	installment
15505	893.00	1460.00	installment
161	830.00	1370.00	installment
14097	154.00	280.00	installment
15508	880.00	1440.00	installment
15505	893.00	1460.00	installment
6535	945.00	1550.00	installment
6329	109.00	210.00	installment
15517	126.00	220.00	installment
12110	47.00	100.00	installment
13300	89.00	180.00	installment
13740	580.00	1020.00	installment
13806	51.00	110.00	installment
15525	210.00	370.00	installment
15526	224.00	380.00	installment
14828	775.00	1270.00	installment
6060	1100.00	1910.00	installment
15524	231.00	390.00	installment
3506	450.00	740.00	installment
12206	1810.00	3020.00	installment
12528	1320.00	2180.00	installment
15505	893.00	1460.00	installment
12155	619.00	1090.00	installment
3982	86.00	160.00	installment
10233	72.00	150.00	installment
14921	99.00	180.00	installment
15536	89.00	180.00	installment
15537	106.00	220.00	installment
15538	67.00	140.00	installment
15540	56.00	120.00	installment
15583	91.00	150.00	installment
4392	260.00	440.00	installment
9518	490.00	810.00	installment
15542	510.00	840.00	installment
13972	638.00	1210.00	installment
1700	895.00	1570.00	installment
6063	720.00	1190.00	installment
11334	480.00	790.00	installment
2092	635.00	1040.00	installment
13091	1775.00	2900.00	installment
14060	1100.00	1820.00	installment
9499	334.00	610.00	installment
13518	674.00	1110.00	installment
15185	975.00	1690.00	installment
15203	237.00	410.00	installment
15546	925.00	1570.00	installment
4247	1020.00	1670.00	installment
13248	980.00	1610.00	installment
1632	116.00	220.00	installment
12073	67.00	120.00	installment
15425	799.00	1330.00	installment
15553	1080.00	1770.00	installment
14046	950.00	1750.00	installment
13373	490.00	880.00	installment
14104	495.00	850.00	installment
762	252.00	440.00	installment
8228	250.00	490.00	installment
15558	134.00	240.00	installment
13929	154.00	280.00	installment
15562	132.00	270.00	installment
15563	106.00	200.00	installment
3502	495.00	810.00	installment
13330	329.00	499.00	single
13662	172.00	290.00	installment
15592	95.00	200.00	installment
15592	95.00	200.00	installment
3944	799.00	1330.00	installment
15569	680.00	1110.00	installment
15062	180.00	330.00	installment
4718	950.00	1560.00	installment
14788	129.00	160.00	installment
15578	96.00	220.00	installment
15586	180.00	330.00	installment
13020	660.00	1210.00	installment
12770	299.00	490.00	installment
15228	217.00	350.00	installment
9252	65.00	300.00	installment
15420	274.00	530.00	installment
9645	1400.00	2210.00	installment
4781	775.00	1270.00	installment
15444	819.00	1630.00	installment
9218	580.00	960.00	installment
12477	430.00	800.00	installment
15442	790.00	1630.00	installment
12589	539.00	890.00	installment
784	299.00	570.00	installment
9072	580.00	960.00	installment
14695	343.00	550.00	installment
8579	960.00	1570.00	installment
5453	530.00	880.00	installment
6026	1120.00	1840.00	installment
14006	240.00	430.00	installment
14771	125.00	210.00	installment
15689	380.00	610.00	installment
9327	1680.00	2740.00	installment
14086	122.00	210.00	installment
12514	450.00	750.00	installment
149	570.00	970.00	installment
3977	156.00	290.00	installment
6423	120.00	210.00	installment
6423	120.00	210.00	installment
14097	154.00	280.00	installment
9664	600.00	990.00	installment
9664	600.00	990.00	installment
8228	250.00	330.00	installment
13248	980.00	1610.00	installment
9290	790.00	1420.00	installment
14587	320.00	610.00	installment
12569	720.00	1190.00	installment
12892	800.00	1330.00	installment
12892	800.00	1330.00	installment
15225	398.00	760.00	installment
13929	154.00	280.00	installment
14097	154.00	280.00	installment
7293	745.00	1270.00	installment
12795	730.00	1210.00	installment
13134	440.00	730.00	installment
15602	544.00	930.00	installment
11968	930.00	1520.00	installment
14133	176.00	300.00	installment
14709	117.00	200.00	installment
