dim	mo	k	n	amount	rem	act
goods	2025-11	792	1	670.28	77.76	1
goods	2025-11	798	1	414.00	41.00	1
goods	2025-11	843	1	1250.00	0.00	0
goods	2025-11	848	1	1122.92	440.00	1
goods	2025-11	861	1	520.00	423.00	1
goods	2025-11	866	2	1580.37	774.37	2
goods	2025-11	867	1	2750.00	270.00	1
goods	2025-11	883	1	5103.00	0.00	0
goods	2025-11	889	1	398.00	299.00	1
goods	2025-11	894	1	1139.00	154.53	1
goods	2025-11	895	3	2590.00	163.00	2
goods	2025-11	897	1	1546.16	152.77	1
goods	2025-11	902	1	1450.00	135.00	1
goods	2025-11	910	1	667.87	77.99	1
goods	2025-11	916	6	3918.20	185.41	3
goods	2025-11	921	1	759.28	98.73	1
goods	2025-11	927	2	1792.98	710.98	2
goods	2025-11	932	1	478.50	0.00	0
goods	2025-11	989	1	1470.00	1196.00	1
goods	2025-11	991	4	1946.41	517.47	2
goods	2025-12	1008	1	1134.00	0.00	0
goods	2025-12	1009	3	4689.52	1649.66	3
goods	2025-12	1010	1	1260.00	0.00	0
goods	2025-12	1011	1	1690.00	1502.04	1
goods	2025-12	1014	1	534.00	0.00	0
goods	2025-12	1027	1	586.00	116.00	1
goods	2025-12	1043	1	657.06	129.58	1
goods	2025-12	1054	4	2959.00	356.00	3
goods	2025-12	1055	4	5310.00	1570.00	4
goods	2025-12	1056	2	8106.44	1977.75	2
goods	2025-12	1058	1	529.00	110.00	1
goods	2025-12	1059	2	1677.00	245.00	2
goods	2025-12	1063	3	4345.00	1067.00	3
goods	2025-12	1076	1	2639.00	515.00	1
goods	2025-12	108	1	363.00	86.00	1
goods	2025-12	1087	2	2040.00	400.00	2
goods	2025-12	1091	1	793.00	171.00	1
goods	2025-12	1095	1	1590.00	320.00	1
goods	2025-12	110	2	607.72	268.72	1
goods	2025-12	1102	1	885.00	190.00	1
goods	2025-12	1111	1	1420.00	750.00	1
goods	2025-12	115	4	1395.61	106.00	2
goods	2025-12	1151	2	719.00	69.00	1
goods	2025-12	1156	1	430.00	0.00	0
goods	2025-12	1184	1	370.00	70.00	1
goods	2025-12	1185	1	1987.00	189.00	1
goods	2025-12	1190	6	3982.00	526.00	5
goods	2025-12	1191	6	4202.02	623.51	4
goods	2025-12	1193	3	2217.50	582.50	2
goods	2025-12	1210	1	1296.80	272.00	1
goods	2025-12	1216	2	4971.69	468.23	2
goods	2025-12	1239	1	2791.00	2029.00	1
goods	2025-12	1243	1	490.00	120.00	1
goods	2025-12	1245	1	1782.89	1200.89	1
goods	2025-12	1246	1	3129.00	608.00	1
goods	2025-12	1247	2	1801.00	974.00	2
goods	2025-12	125	2	1110.00	490.00	1
goods	2025-12	1271	1	670.00	160.00	1
goods	2025-12	1272	1	2040.00	200.00	1
goods	2025-12	1273	1	640.00	0.00	0
goods	2025-12	1274	1	448.00	256.00	1
goods	2025-12	1276	1	488.06	93.03	1
goods	2025-12	1294	1	1509.29	1199.29	1
goods	2025-12	1296	1	1011.49	319.37	1
goods	2025-12	130	1	740.00	73.00	1
goods	2025-12	13218	1	880.00	166.00	1
goods	2025-12	1334	1	1040.00	721.00	1
goods	2025-12	1336	1	3350.00	100.00	1
goods	2025-12	1339	1	692.21	554.21	1
goods	2025-12	1342	1	1536.30	322.30	1
goods	2025-12	1346	1	888.00	174.00	1
goods	2025-12	1361	2	4910.00	1100.00	1
goods	2025-12	137	1	320.00	62.00	1
goods	2025-12	1372	1	2300.00	228.00	1
goods	2025-12	1373	1	2512.32	539.29	1
goods	2025-12	1386	1	3100.00	558.00	1
goods	2025-12	1389	4	4902.09	1218.69	4
goods	2025-12	1390	2	1510.00	400.00	1
goods	2025-12	1391	1	1780.00	352.00	1
goods	2025-12	1392	1	1197.92	229.73	1
goods	2025-12	1398	1	1490.00	1200.00	1
goods	2025-12	1399	1	2060.00	400.00	1
goods	2025-12	1400	1	3139.00	600.00	1
goods	2025-12	1401	1	634.00	61.00	1
goods	2025-12	1405	3	5361.20	730.06	3
goods	2025-12	1407	5	6867.70	2045.75	5
goods	2025-12	1410	1	1338.00	124.00	1
goods	2025-12	1435	2	625.00	44.00	1
goods	2025-12	1440	1	290.00	0.00	0
goods	2025-12	1447	1	2100.00	410.00	1
goods	2025-12	1454	1	1377.00	416.00	1
goods	2025-12	1463	1	269.00	58.00	1
goods	2025-12	1467	3	2604.00	280.00	3
goods	2025-12	1470	2	1420.00	500.00	2
goods	2025-12	1471	1	2168.00	415.00	1
goods	2025-12	1472	7	4144.00	1073.00	5
goods	2025-12	1473	4	3050.60	1168.20	3
goods	2025-12	1477	1	1923.00	217.00	1
goods	2025-12	1483	1	431.00	0.00	0
goods	2025-12	1484	1	1645.00	0.00	0
goods	2025-12	1505	1	1595.42	320.00	1
goods	2025-12	1511	1	699.73	0.00	0
goods	2025-12	1512	2	1853.00	456.00	2
goods	2025-12	1513	1	1235.00	270.00	1
goods	2025-12	1515	2	4324.00	834.00	2
goods	2025-12	1518	1	510.00	50.00	1
goods	2025-12	1520	1	326.00	0.00	0
goods	2025-12	1521	3	5044.00	1642.00	3
goods	2025-12	1522	2	2857.60	457.72	2
goods	2025-12	1528	2	3267.27	508.74	2
goods	2025-12	1530	1	1440.47	357.83	1
goods	2025-12	1534	1	10720.00	1944.00	1
goods	2025-12	1535	1	1578.85	339.46	1
goods	2025-12	1536	1	1476.00	344.00	1
goods	2025-12	1539	1	1800.00	1490.00	1
goods	2025-12	1541	1	310.00	60.00	1
goods	2025-12	1544	2	2876.83	987.31	2
goods	2025-12	1545	10	11885.34	5528.67	10
goods	2025-12	1546	1	1970.00	1372.00	1
goods	2025-12	1549	2	3597.00	699.00	2
goods	2025-12	1557	1	1251.00	299.00	1
goods	2025-12	156	1	340.00	33.00	1
goods	2025-12	1566	1	390.00	0.00	0
goods	2025-12	1568	1	614.98	60.66	1
goods	2025-12	1587	1	852.57	162.57	1
goods	2025-12	1590	1	560.00	110.00	1
goods	2025-12	1594	4	3294.00	1319.00	4
goods	2025-12	1595	3	813.07	173.07	3
goods	2025-12	1597	1	1688.00	0.00	0
goods	2025-12	1601	2	1150.00	386.00	2
goods	2025-12	1609	1	733.25	139.73	1
goods	2025-12	1613	2	1829.35	367.87	2
goods	2025-12	1638	1	728.73	144.00	1
goods	2025-12	1644	2	3180.00	1712.00	2
goods	2025-12	1646	1	877.80	193.46	1
goods	2025-12	1650	1	442.00	96.00	1
goods	2025-12	1659	1	2440.00	480.00	1
goods	2025-12	1662	5	9537.00	3518.00	4
goods	2025-12	1663	4	6500.00	2420.00	4
goods	2025-12	1668	2	3965.52	962.13	2
goods	2025-12	1669	2	5796.74	2979.14	2
goods	2025-12	1673	2	3399.00	1529.00	2
goods	2025-12	1674	2	3264.75	2521.75	2
goods	2025-12	1679	2	5780.00	2700.00	1
goods	2025-12	1712	1	430.00	0.00	0
goods	2025-12	1726	1	640.00	262.00	1
goods	2025-12	1737	1	417.00	0.00	0
goods	2025-12	1742	1	670.00	132.00	1
goods	2025-12	1771	1	370.00	36.00	1
goods	2025-12	1783	1	450.00	44.00	1
goods	2025-12	1791	2	2570.00	0.00	0
goods	2025-12	1794	1	416.00	78.00	1
goods	2025-12	1795	1	640.00	248.00	1
goods	2025-12	1796	3	1283.48	172.87	3
goods	2025-12	1798	1	773.00	680.00	1
goods	2025-12	1802	1	2280.00	1250.00	1
goods	2025-12	1806	1	1762.00	350.00	1
goods	2025-12	1859	1	1245.36	251.96	1
goods	2025-12	1861	2	1307.88	619.96	2
goods	2025-12	1862	1	441.00	91.00	1
goods	2025-12	1905	1	369.84	0.00	0
goods	2025-12	1911	4	1379.12	301.92	4
goods	2025-12	1912	1	480.00	0.00	0
goods	2025-12	1914	3	3548.00	1676.00	3
goods	2025-12	1920	2	5558.08	1061.00	2
goods	2025-12	1921	1	3195.95	1794.61	1
goods	2025-12	1923	1	2014.02	199.86	1
goods	2025-12	1933	1	298.00	111.00	1
goods	2025-12	1935	1	2499.00	524.00	1
goods	2025-12	1940	2	2260.00	557.00	2
goods	2025-12	1942	1	2140.00	460.00	1
goods	2025-12	1943	2	2859.00	2514.00	2
goods	2025-12	1979	1	1680.00	334.00	1
goods	2025-12	1995	2	3283.77	644.44	2
goods	2025-12	2004	1	1360.00	268.00	1
goods	2025-12	2008	1	1070.00	106.00	1
goods	2025-12	2015	1	1157.92	233.26	1
goods	2025-12	212	1	1050.00	200.00	1
goods	2025-12	223	3	2761.48	380.74	2
goods	2025-12	224	2	1970.84	887.84	2
goods	2025-12	230	1	169.00	32.00	1
goods	2025-12	232	1	863.00	87.00	1
goods	2025-12	233	2	1629.00	262.00	2
goods	2025-12	240	1	710.00	61.00	1
goods	2025-12	241	1	850.00	168.00	1
goods	2025-12	242	1	1091.00	235.00	1
goods	2025-12	247	1	1720.00	324.00	1
goods	2025-12	2489	55	69434.08	20886.42	42
goods	2025-12	249	1	808.00	0.00	0
goods	2025-12	2509	1	1430.00	286.00	1
goods	2025-12	252	3	5366.59	1376.59	3
goods	2025-12	253	2	2971.00	590.00	2
goods	2025-12	259	2	3310.94	696.47	2
goods	2025-12	261	2	2880.00	1800.00	2
goods	2025-12	265	3	3630.00	838.00	3
goods	2025-12	266	1	570.87	455.87	1
goods	2025-12	267	5	5912.00	1176.62	5
goods	2025-12	271	2	2587.00	225.00	1
goods	2025-12	275	3	2860.14	760.00	2
goods	2025-12	282	1	383.00	0.00	0
goods	2025-12	298	1	858.20	94.55	1
goods	2025-12	308	1	660.00	130.00	1
goods	2025-12	309	1	550.00	0.00	0
goods	2025-12	311	3	2054.02	479.00	3
goods	2025-12	312	2	1905.00	280.00	2
goods	2025-12	335	1	1754.86	1560.86	1
goods	2025-12	339	1	1315.00	290.00	1
goods	2025-12	342	2	2800.48	599.12	2
goods	2025-12	344	1	2084.21	1181.24	1
goods	2025-12	346	1	390.00	259.00	1
goods	2025-12	349	1	1320.00	280.00	1
goods	2025-12	351	3	3048.50	1621.25	3
goods	2025-12	355	2	964.28	314.28	1
goods	2025-12	356	1	560.00	0.00	0
goods	2025-12	367	2	2420.00	495.00	2
goods	2025-12	382	1	238.50	0.00	0
goods	2025-12	392	1	1260.00	560.00	1
goods	2025-12	394	3	2917.40	339.80	2
goods	2025-12	40492	1	257.00	25.00	1
goods	2025-12	40894	1	414.00	88.00	1
goods	2025-12	413	1	787.98	180.58	1
goods	2025-12	414	1	990.00	855.00	1
goods	2025-12	41456	1	214.00	0.00	0
goods	2025-12	415	1	1200.00	220.00	1
goods	2025-12	416	1	1480.00	1400.00	1
goods	2025-12	425	2	3360.00	1098.00	1
goods	2025-12	426	1	1050.00	103.00	1
goods	2025-12	431	1	460.00	345.00	1
goods	2025-12	433	3	5252.00	711.00	3
goods	2025-12	434	3	6473.36	1242.15	3
goods	2025-12	435	2	4575.00	946.00	2
goods	2025-12	437	1	2670.00	580.00	1
goods	2025-12	440	1	600.00	59.00	1
goods	2025-12	441	1	1973.00	434.00	1
goods	2025-12	443	2	1510.00	363.00	2
goods	2025-12	444	2	5730.00	1214.00	2
goods	2025-12	456	1	590.00	513.00	1
goods	2025-12	459	1	2250.00	0.00	0
goods	2025-12	463	2	3192.00	610.00	2
goods	2025-12	471	1	320.00	93.00	1
goods	2025-12	488	1	556.00	0.00	0
goods	2025-12	501	1	881.00	174.00	1
goods	2025-12	507	1	670.00	130.00	1
goods	2025-12	522	1	1721.05	205.05	1
goods	2025-12	531	1	987.00	194.00	1
goods	2025-12	533	1	590.00	57.00	1
goods	2025-12	537	4	4477.00	1442.58	4
goods	2025-12	585	1	1820.00	0.00	0
goods	2025-12	587	1	950.60	199.20	1
goods	2025-12	649	3	5030.00	3600.00	3
goods	2025-12	661	1	1090.00	208.00	1
goods	2025-12	668	2	1815.00	166.00	2
goods	2025-12	673	1	1780.00	1600.00	1
goods	2025-12	680	1	2240.00	498.10	1
goods	2025-12	681	1	1600.00	450.00	1
goods	2025-12	682	2	2600.00	662.00	2
goods	2025-12	684	4	4146.84	1313.96	4
goods	2025-12	685	1	1181.00	228.00	1
goods	2025-12	686	1	2024.00	210.00	1
goods	2025-12	687	1	2170.00	420.00	1
goods	2025-12	690	1	805.00	644.00	1
goods	2025-12	696	2	3140.00	640.00	2
goods	2025-12	721	1	1963.66	1506.66	1
goods	2025-12	726	1	963.00	252.00	1
goods	2025-12	739	1	1620.00	320.00	1
goods	2025-12	748	1	440.00	43.00	1
goods	2025-12	749	1	790.00	144.00	1
goods	2025-12	770	1	1420.00	137.00	1
goods	2025-12	772	1	820.00	160.00	1
goods	2025-12	773	1	1148.30	229.40	1
goods	2025-12	774	1	2270.00	225.00	1
goods	2025-12	781	2	2630.00	2490.00	2
goods	2025-12	783	3	4803.16	1477.16	3
goods	2025-12	784	1	1870.00	172.00	1
goods	2025-12	789	1	244.48	61.06	1
goods	2025-12	792	1	850.00	168.00	1
goods	2025-12	798	2	1596.00	681.01	2
goods	2025-12	800	1	470.00	42.00	1
goods	2025-12	808	1	1728.25	1057.75	1
goods	2025-12	816	3	4484.00	1851.00	3
goods	2025-12	817	1	1570.00	1560.00	1
goods	2025-12	819	1	2820.00	1974.00	1
goods	2025-12	826	1	1110.00	220.00	1
goods	2025-12	833	1	2080.00	207.00	1
goods	2025-12	836	1	2150.00	420.00	1
goods	2025-12	843	3	4490.00	454.00	2
goods	2025-12	844	1	621.00	415.00	1
goods	2025-12	859	4	2196.58	1296.20	3
goods	2025-12	860	1	674.40	0.00	0
goods	2025-12	861	1	540.00	106.00	1
goods	2025-12	862	2	1260.00	114.00	1
goods	2025-12	866	2	2837.00	264.00	1
goods	2025-12	867	1	2348.00	1827.00	1
goods	2025-12	868	1	3950.00	3650.00	1
goods	2025-12	876	3	2838.59	1101.56	3
goods	2025-12	884	2	1884.00	1000.00	2
goods	2025-12	886	1	1480.00	290.00	1
goods	2025-12	891	2	2149.00	161.00	1
goods	2025-12	895	1	859.00	420.00	1
goods	2025-12	897	3	4260.00	1714.00	3
goods	2025-12	902	2	2879.00	554.00	2
goods	2025-12	906	1	1890.00	1880.00	1
goods	2025-12	916	1	1160.00	230.00	1
goods	2025-12	921	1	938.00	175.00	1
goods	2025-12	927	1	734.00	156.00	1
goods	2025-12	928	1	1257.00	250.00	1
goods	2025-12	942	1	2604.00	487.93	1
goods	2025-12	954	1	804.16	159.29	1
goods	2025-12	958	2	1408.00	298.00	2
goods	2025-12	977	1	1050.00	309.00	1
goods	2025-12	991	7	4107.28	775.28	7
goods	2026-01	1007	1	801.00	259.00	1
goods	2026-01	1008	5	5041.47	1005.03	5
goods	2026-01	1010	1	1525.00	825.00	1
goods	2026-01	1026	2	1410.00	1060.00	2
goods	2026-01	1052	1	1320.00	260.00	1
goods	2026-01	1054	2	1685.00	676.00	2
goods	2026-01	1063	6	6920.10	1878.82	6
goods	2026-01	108	1	418.12	121.78	1
goods	2026-01	1087	2	2014.00	1210.00	2
goods	2026-01	1089	1	1090.00	212.00	1
goods	2026-01	1147	1	3870.00	3393.00	1
goods	2026-01	1151	1	559.00	158.00	1
goods	2026-01	1152	2	626.00	149.00	2
goods	2026-01	1157	1	890.00	264.00	1
goods	2026-01	116	1	335.00	62.00	1
goods	2026-01	119	1	340.00	0.00	0
goods	2026-01	1190	7	5300.05	1457.25	6
goods	2026-01	1191	6	4175.54	1038.54	5
goods	2026-01	1192	2	1460.00	0.00	0
goods	2026-01	1193	4	2617.00	797.00	3
goods	2026-01	1204	1	250.00	0.00	0
goods	2026-01	1210	1	1291.67	419.89	1
goods	2026-01	1214	1	3150.00	930.00	1
goods	2026-01	1239	1	2080.00	400.00	1
goods	2026-01	1245	2	5390.00	1585.86	2
goods	2026-01	1249	1	1110.00	1050.00	1
goods	2026-01	1262	1	678.42	196.28	1
goods	2026-01	1273	1	632.09	185.09	1
goods	2026-01	1274	3	2186.00	513.00	2
goods	2026-01	1276	1	650.00	124.00	1
goods	2026-01	1279	3	5600.00	2397.00	3
goods	2026-01	128	1	460.00	0.00	0
goods	2026-01	1290	1	530.00	153.00	1
goods	2026-01	1291	1	360.00	70.00	1
goods	2026-01	1292	1	1619.00	470.00	1
goods	2026-01	1296	1	2601.51	854.93	1
goods	2026-01	130	1	440.00	0.00	0
goods	2026-01	1301	1	2660.00	780.00	1
goods	2026-01	1316	1	980.00	2.00	1
goods	2026-01	1339	1	1414.00	416.00	1
goods	2026-01	1341	1	1516.00	344.00	1
goods	2026-01	1346	2	1748.00	689.00	2
goods	2026-01	1355	1	77.74	13.74	1
goods	2026-01	1356	1	360.00	105.00	1
goods	2026-01	1358	1	808.00	285.00	1
goods	2026-01	1360	1	480.31	240.00	1
goods	2026-01	1365	1	240.00	0.00	0
goods	2026-01	137	1	320.00	0.00	0
goods	2026-01	1370	1	1690.00	320.00	1
goods	2026-01	1379	1	3126.27	932.20	1
goods	2026-01	1380	1	1570.00	0.00	0
goods	2026-01	1386	1	2890.00	815.00	1
goods	2026-01	1387	2	4047.16	1012.50	2
goods	2026-01	1388	1	3280.00	900.00	1
goods	2026-01	1389	1	2160.00	430.00	1
goods	2026-01	140	1	1931.00	1289.00	1
goods	2026-01	1403	1	1770.00	350.00	1
goods	2026-01	1407	1	1340.00	810.00	1
goods	2026-01	1440	1	195.00	0.00	0
goods	2026-01	1441	1	1090.00	324.00	1
goods	2026-01	1442	1	460.00	98.00	1
goods	2026-01	145	1	510.00	144.00	1
goods	2026-01	1453	2	2827.48	1194.54	2
goods	2026-01	1464	1	580.00	0.00	0
goods	2026-01	1467	3	2295.00	468.00	2
goods	2026-01	1468	1	1804.00	513.00	1
goods	2026-01	1470	2	2120.70	659.35	2
goods	2026-01	1472	1	610.00	180.00	1
goods	2026-01	1473	3	2965.00	885.00	3
goods	2026-01	1476	1	2100.00	1854.00	1
goods	2026-01	1478	2	5080.00	3000.00	2
goods	2026-01	1483	1	244.74	0.00	0
goods	2026-01	1484	1	2620.00	1760.00	1
goods	2026-01	1504	1	932.00	342.00	1
goods	2026-01	1511	1	569.00	122.00	1
goods	2026-01	1512	2	1915.90	693.62	2
goods	2026-01	1513	1	1360.00	405.00	1
goods	2026-01	1521	1	796.00	640.00	1
goods	2026-01	1523	3	2505.00	1040.00	2
goods	2026-01	1528	2	3630.00	1668.40	2
goods	2026-01	1531	1	1711.43	507.98	1
goods	2026-01	1535	1	1770.00	348.00	1
goods	2026-01	1539	1	1857.00	900.00	1
goods	2026-01	1541	1	500.00	0.00	0
goods	2026-01	1544	1	1265.00	465.00	1
goods	2026-01	1545	5	5951.40	2432.00	3
goods	2026-01	1546	1	1850.00	340.00	1
goods	2026-01	1547	1	1610.00	0.00	0
goods	2026-01	1549	4	4406.98	1664.62	4
goods	2026-01	1551	1	2060.00	2000.00	1
goods	2026-01	1554	1	2350.00	750.00	1
goods	2026-01	156	3	1020.00	99.00	1
goods	2026-01	1563	1	248.00	90.00	1
goods	2026-01	1566	3	1534.00	799.00	3
goods	2026-01	1567	1	140.00	0.00	0
goods	2026-01	1576	1	1620.00	320.00	1
goods	2026-01	1584	1	350.00	102.00	1
goods	2026-01	159	1	520.00	150.00	1
goods	2026-01	1594	8	7025.00	1930.00	6
goods	2026-01	1595	15	4570.10	1265.88	7
goods	2026-01	1600	1	875.00	700.00	1
goods	2026-01	1624	1	290.00	0.00	0
goods	2026-01	1639	1	690.00	610.00	1
goods	2026-01	1640	1	940.00	309.00	1
goods	2026-01	1645	1	1330.00	650.00	1
goods	2026-01	1646	1	990.00	291.00	1
goods	2026-01	1652	4	2434.00	413.00	3
goods	2026-01	1659	1	2430.00	720.00	1
goods	2026-01	1661	3	4161.67	1113.89	3
goods	2026-01	1662	3	4510.00	1328.00	3
goods	2026-01	1663	1	1570.00	1530.00	1
goods	2026-01	1667	1	2300.00	2200.00	1
goods	2026-01	1668	3	5299.00	3188.00	3
goods	2026-01	1672	3	7620.00	6403.00	3
goods	2026-01	1673	6	9153.94	5274.78	6
goods	2026-01	1678	1	4730.00	4400.00	1
goods	2026-01	171	2	11310.00	0.00	0
goods	2026-01	1726	1	329.00	65.00	1
goods	2026-01	1728	2	1940.00	522.00	2
goods	2026-01	1737	1	606.76	179.46	1
goods	2026-01	1742	3	2182.00	195.00	1
goods	2026-01	1757	1	667.00	146.00	1
goods	2026-01	1764	1	240.00	0.00	0
goods	2026-01	1769	1	310.00	90.00	1
goods	2026-01	1771	1	344.00	72.00	1
goods	2026-01	1773	1	1580.00	1137.24	1
goods	2026-01	1794	3	1717.00	477.00	3
goods	2026-01	1796	2	605.00	157.00	2
goods	2026-01	1797	2	947.78	319.78	1
goods	2026-01	1807	1	2780.00	1365.00	1
goods	2026-01	1856	1	471.00	192.00	1
goods	2026-01	1860	1	562.00	174.00	1
goods	2026-01	1861	3	2606.72	656.08	2
goods	2026-01	1862	1	431.00	85.00	1
goods	2026-01	1869	1	388.00	0.00	0
goods	2026-01	1873	1	530.00	350.00	1
goods	2026-01	1879	1	760.00	396.00	1
goods	2026-01	1893	1	177.00	78.00	1
goods	2026-01	1900	1	350.00	0.00	0
goods	2026-01	1911	1	257.82	115.41	1
goods	2026-01	1913	1	520.00	0.00	0
goods	2026-01	1915	1	2917.00	2184.00	1
goods	2026-01	1916	2	2803.76	1045.76	2
goods	2026-01	1923	1	2550.00	750.00	1
goods	2026-01	1927	1	708.00	80.00	1
goods	2026-01	1935	2	5518.38	3720.70	2
goods	2026-01	1938	3	969.75	281.35	3
goods	2026-01	1940	1	1160.00	228.00	1
goods	2026-01	1943	2	4603.00	1323.00	2
goods	2026-01	1975	1	722.00	216.00	1
goods	2026-01	1994	1	1560.00	465.00	1
goods	2026-01	1995	1	1467.62	0.00	0
goods	2026-01	2003	2	3870.00	380.00	1
goods	2026-01	2020	1	1233.00	696.00	1
goods	2026-01	2025	1	550.00	530.00	1
goods	2026-01	2026	1	892.00	172.00	1
goods	2026-01	2044	3	6324.27	2677.02	3
goods	2026-01	2045	2	1225.81	874.00	2
goods	2026-01	2046	1	1730.00	310.00	1
goods	2026-01	2048	1	1570.00	300.00	1
goods	2026-01	2050	2	2896.72	1084.18	2
goods	2026-01	2052	1	1440.00	420.00	1
goods	2026-01	2053	1	1885.00	615.00	1
goods	2026-01	2061	6	9531.12	1671.00	4
goods	2026-01	2125	7	3277.00	1304.00	6
goods	2026-01	216	1	250.00	0.00	0
goods	2026-01	224	1	1370.00	405.00	1
goods	2026-01	225	1	634.00	198.00	1
goods	2026-01	229	1	430.00	0.00	0
goods	2026-01	241	1	755.00	0.00	0
goods	2026-01	242	1	1090.00	100.00	1
goods	2026-01	2489	65	88636.71	38359.34	56
goods	2026-01	252	2	2670.60	1135.20	2
goods	2026-01	2570	3	6400.00	2321.96	2
goods	2026-01	265	4	4549.00	2472.75	4
goods	2026-01	271	5	7377.00	2965.00	5
goods	2026-01	299	1	851.60	41.20	1
goods	2026-01	305	1	1450.00	280.00	1
goods	2026-01	308	1	450.00	0.00	0
goods	2026-01	310	1	610.00	180.00	1
goods	2026-01	311	1	968.00	190.00	1
goods	2026-01	312	3	2867.05	783.05	3
goods	2026-01	340	1	1670.00	480.00	1
goods	2026-01	351	1	1065.00	315.00	1
goods	2026-01	356	1	570.00	112.00	1
goods	2026-01	360	1	260.00	0.00	0
goods	2026-01	369	1	2810.00	2379.00	1
goods	2026-01	373	1	3115.00	2380.00	1
goods	2026-01	375	1	3110.60	1127.72	1
goods	2026-01	386	1	380.00	70.00	1
goods	2026-01	392	3	3990.00	2210.00	3
goods	2026-01	394	1	1078.20	428.00	1
goods	2026-01	400	1	1750.00	345.00	1
goods	2026-01	40377	1	1540.00	450.00	1
goods	2026-01	40472	2	827.10	207.02	2
goods	2026-01	40473	4	5506.88	2488.22	4
goods	2026-01	40894	1	990.00	294.00	1
goods	2026-01	412	1	730.00	213.00	1
goods	2026-01	413	3	2977.12	964.52	3
goods	2026-01	425	2	2580.00	540.00	2
goods	2026-01	426	4	4208.00	588.00	3
goods	2026-01	427	2	2460.00	720.00	2
goods	2026-01	431	1	1210.00	236.99	1
goods	2026-01	434	2	4350.00	1296.00	2
goods	2026-01	435	1	2180.00	645.00	1
goods	2026-01	436	1	983.79	322.19	1
goods	2026-01	437	2	3892.91	1895.00	2
goods	2026-01	444	1	3860.00	1940.00	1
goods	2026-01	450	1	3000.00	1490.00	1
goods	2026-01	452	1	1034.91	828.91	1
goods	2026-01	456	1	630.00	420.00	1
goods	2026-01	463	3	6720.00	2759.00	3
goods	2026-01	485	1	250.00	0.00	0
goods	2026-01	501	1	910.00	650.00	1
goods	2026-01	521	1	4435.00	0.00	0
goods	2026-01	537	1	1150.00	220.00	1
goods	2026-01	572	1	2440.00	440.00	1
goods	2026-01	585	1	1500.70	283.94	1
goods	2026-01	606	1	869.56	353.51	1
goods	2026-01	608	1	1190.00	700.53	1
goods	2026-01	609	2	2087.03	608.31	2
goods	2026-01	649	5	7895.78	2520.03	4
goods	2026-01	654	3	5155.49	1420.49	1
goods	2026-01	660	1	1720.00	471.00	1
goods	2026-01	662	1	1010.00	200.00	1
goods	2026-01	681	1	1195.00	273.00	1
goods	2026-01	682	2	4170.00	2859.69	2
goods	2026-01	684	3	2978.15	908.23	3
goods	2026-01	685	2	2440.00	1410.00	2
goods	2026-01	686	1	2260.00	660.00	1
goods	2026-01	688	1	2840.00	550.00	1
goods	2026-01	696	2	6322.00	1925.00	2
goods	2026-01	727	1	1100.00	1080.00	1
goods	2026-01	739	1	1490.00	480.00	1
goods	2026-01	746	1	2734.58	1074.58	1
goods	2026-01	747	1	562.26	31.21	1
goods	2026-01	749	1	750.00	360.00	1
goods	2026-01	761	2	3138.18	774.09	2
goods	2026-01	766	1	969.24	379.67	1
goods	2026-01	771	1	462.00	112.00	1
goods	2026-01	776	1	4860.00	4360.00	1
goods	2026-01	783	1	1890.00	1288.00	1
goods	2026-01	798	1	450.00	88.00	1
goods	2026-01	800	2	808.00	63.00	1
goods	2026-01	808	1	1935.00	1520.00	1
goods	2026-01	814	1	770.00	168.00	1
goods	2026-01	816	1	1180.00	342.00	1
goods	2026-01	826	1	1110.00	330.00	1
goods	2026-01	843	7	8332.00	2460.00	7
goods	2026-01	852	1	678.00	0.00	0
goods	2026-01	862	1	580.00	171.00	1
goods	2026-01	866	5	8398.00	5894.00	5
goods	2026-01	872	1	514.00	128.00	1
goods	2026-01	876	2	1438.40	231.00	1
goods	2026-01	879	1	2206.00	648.00	1
goods	2026-01	883	2	3640.00	2000.00	2
goods	2026-01	884	7	7019.84	3131.92	6
goods	2026-01	886	1	1349.04	534.51	1
goods	2026-01	889	3	3849.55	1849.00	3
goods	2026-01	892	1	1640.00	800.00	1
goods	2026-01	895	1	860.00	320.00	1
goods	2026-01	900	1	1640.00	320.00	1
goods	2026-01	902	1	1437.00	426.00	1
goods	2026-01	908	1	2570.00	696.00	1
goods	2026-01	914	1	1250.00	244.00	1
goods	2026-01	916	3	2860.00	844.00	2
goods	2026-01	917	1	1010.00	330.00	1
goods	2026-01	930	1	560.00	106.00	1
goods	2026-01	957	1	460.00	334.00	1
goods	2026-01	988	1	1278.48	409.48	1
goods	2026-01	991	9	4362.55	1137.72	8
goods	2026-01	999	1	279.21	224.21	1
goods	2026-02	1007	1	944.24	284.62	1
goods	2026-02	1008	1	1070.00	308.00	1
goods	2026-02	1017	1	1130.00	550.00	1
goods	2026-02	1024	1	372.00	62.00	1
goods	2026-02	1026	2	859.16	535.79	2
goods	2026-02	1054	3	2250.00	1153.00	3
goods	2026-02	1060	1	1070.00	400.00	1
goods	2026-02	1066	1	2220.00	856.00	1
goods	2026-02	1086	3	2530.92	930.00	3
goods	2026-02	1087	2	2178.00	1191.00	2
goods	2026-02	1102	1	910.00	372.00	1
goods	2026-02	1152	1	366.00	142.00	1
goods	2026-02	1154	1	497.00	190.00	1
